STATE:0:cr250r750c/cr1500r2300c/r4800c/r9600c:As6d|JcQh/Jh7s2c/7h/5c:-9600|9600:gavin.fintan.1|DeepStack # 1479560705.66132
STATE:1:r200c/cr400f:5hQd|Kc4d/9h2dAc:-200|200:DeepStack|gavin.fintan.1 # 1479560802.16387
STATE:2:r300r750c/r1875f:6d9h|7dKh/8s3hQh:750|-750:gavin.fintan.1|DeepStack # 1479560825.79647
STATE:3:r200r600c/r1200c/cr3000f:Th7h|Js9s/Kd8h6c/Jd:-1200|1200:DeepStack|gavin.fintan.1 # 1479560858.07055
STATE:4:r300c/cc/cr900c/cr2700f:Jh7d|9cAs/KhJs2s/Ac/6h:-900|900:gavin.fintan.1|DeepStack # 1479560898.32774
STATE:5:r200c/cr400c/cr800c/cr2000r6000f:As7c|5s6h/Qs3d7h/Tc/Ah:2000|-2000:DeepStack|gavin.fintan.1 # 1479560943.03275
STATE:6:r300c/cr900f:Tc5c|Jh6s/6h2s9s:-300|300:gavin.fintan.1|DeepStack # 1479560996.99428
STATE:7:cr300c/cr750c/cr1875f:KcQs|Qd7h/8hJhTc/3h:-750|750:DeepStack|gavin.fintan.1 # 1479561024.84231
STATE:8:cr250f:TcKc|7h3s:100|-100:gavin.fintan.1|DeepStack # 1479561070.15518
STATE:9:cr300r750c/cr1875f:Ah8c|TdKd/JdQsTc:-750|750:DeepStack|gavin.fintan.1 # 1479561087.59933
STATE:10:cr300f:AcTs|5c9d:100|-100:gavin.fintan.1|DeepStack # 1479561122.38594
STATE:11:r200f:2s5h|8sJd:-100|100:DeepStack|gavin.fintan.1 # 1479561139.37582
STATE:12:r300c/cr600r1000c/r2500f:Ac6s|9s7h/2c8h4s/Js:1000|-1000:gavin.fintan.1|DeepStack # 1479561150.85015
STATE:13:r280c/cr700c/cr1750c/cr5250c:9dJs|8c8d/TsQhKh/Jh/2c:5250|-5250:DeepStack|gavin.fintan.1 # 1479561198.02529
STATE:14:r300c/cc/r900f:Td4d|2c4c/Ts8d8h/4s:300|-300:gavin.fintan.1|DeepStack # 1479561260.4109
STATE:15:r290f:Tc5s|TsAd:-100|100:DeepStack|gavin.fintan.1 # 1479561289.27511
STATE:16:r300c/cr600r1500f:Jc7d|8c3c/7c7h2s:600|-600:gavin.fintan.1|DeepStack # 1479561306.01379
STATE:17:r250c/cr625f:Qs4d|Ah7s/As6c9d:-250|250:DeepStack|gavin.fintan.1 # 1479561332.15378
STATE:18:f:Jc2s|3s8h:50|-50:gavin.fintan.1|DeepStack # 1479561356.92947
STATE:19:r250c/cr625f:As2s|QsJc/7dQhJh:-250|250:DeepStack|gavin.fintan.1 # 1479561363.58013
STATE:20:r200r600c/r1800f:9c6d|5cAs/3s9d7d:600|-600:gavin.fintan.1|DeepStack # 1479561390.94166
STATE:21:f:4dQd|3dJs:50|-50:DeepStack|gavin.fintan.1 # 1479561417.3434
STATE:22:cc/cc/cc/r250c:4cQs|Ks9h/8h3c5h/Ac/5s:-250|250:gavin.fintan.1|DeepStack # 1479561425.22265
STATE:23:r200c/cc/cr500f:Js8h|Ks3h/4c9sKh/6s:-200|200:DeepStack|gavin.fintan.1 # 1479561468.46308
STATE:24:r200r600c/r1500f:JdTh|7sAd/3s9d2c:600|-600:gavin.fintan.1|DeepStack # 1479561503.31024
STATE:25:r200f:3s7h|2dAh:-100|100:DeepStack|gavin.fintan.1 # 1479561525.84701
STATE:26:r300r900f:JsAs|5s6c:300|-300:gavin.fintan.1|DeepStack # 1479561537.19665
STATE:27:r250r750c/r1500c/r3000c/cc:QdKs|QhKc/3h3d7h/Qs/Ac:0|0:DeepStack|gavin.fintan.1 # 1479561552.5008
STATE:28:r200r600f:AdTd|Tc7s:200|-200:gavin.fintan.1|DeepStack # 1479561598.48755
STATE:29:r200c/cr500c/cr1250f:4hJh|9c6c/8c4dTc/As:-500|500:DeepStack|gavin.fintan.1 # 1479561614.04439
STATE:30:r200c/r500c/cc/r1500f:4dQd|3dTd/5s2c4h/Kh/Qc:500|-500:gavin.fintan.1|DeepStack # 1479561658.5122
STATE:31:r200c/cr400c/cc/cc:5dAh|3cAs/8dKc5h/Td/Qs:400|-400:DeepStack|gavin.fintan.1 # 1479561699.38439
STATE:32:r300r900c/r2250c/cr6750r20000c/:5s5d|AhKd/7hTh5c/Kc/8s:20000|-20000:gavin.fintan.1|DeepStack # 1479561740.9969
STATE:33:r200c/cr500f:Th3h|8dAs/JsQcQd:-200|200:DeepStack|gavin.fintan.1 # 1479561792.06797
STATE:34:r300c/cr600r1500f:Qs2d|6cJc/8h8c9h:600|-600:gavin.fintan.1|DeepStack # 1479561813.71411
STATE:35:cc/cr250f:2dAc|Kh5d/Kd8c9d:-100|100:DeepStack|gavin.fintan.1 # 1479561845.70914
STATE:36:r300r750r2250f:8dKc|9cTc:-750|750:gavin.fintan.1|DeepStack # 1479561874.8339
STATE:37:r200r20000f:KcAs|6hQd:200|-200:DeepStack|gavin.fintan.1 # 1479561901.42738
STATE:38:cc/cc/r200f:3cKd|Th4c/3s9hQc/2h:100|-100:gavin.fintan.1|DeepStack # 1479561917.66237
STATE:39:r200f:8s2h|9sJs:-100|100:DeepStack|gavin.fintan.1 # 1479561949.94572
STATE:40:r200r500c/r1250c/cc/cr3750c:KdKc|2hJh/Jc4c3c/8c/6s:3750|-3750:gavin.fintan.1|DeepStack # 1479561961.14929
STATE:41:r200c/cr500f:Ah6s|TdJc/3c8hQs:-200|200:DeepStack|gavin.fintan.1 # 1479562020.70457
STATE:42:r200f:3dQs|5cAh:-100|100:gavin.fintan.1|DeepStack # 1479562043.1611
STATE:43:cr300f:KcTc|5c9s:100|-100:DeepStack|gavin.fintan.1 # 1479562063.25893
STATE:44:r300c/cc/cc/cr900f:9sJc|2dAh/7sTcKs/Ad/6c:-300|300:gavin.fintan.1|DeepStack # 1479562083.73772
STATE:45:r200c/cr400f:Tc7d|7hQh/5h5dAd:-200|200:DeepStack|gavin.fintan.1 # 1479562128.79229
STATE:46:r200r500r1500f:4s9h|8h7h:-500|500:gavin.fintan.1|DeepStack # 1479562151.46025
STATE:47:r200c/cr300f:5c7s|7d6h/3dJc2s:-200|200:DeepStack|gavin.fintan.1 # 1479562173.44786
STATE:48:cr250c/r625f:4c9d|4d3h/5s7h4s:250|-250:gavin.fintan.1|DeepStack # 1479562194.16038
STATE:49:r200c/cr500f:4h8h|6h5c/3s9s7c:-200|200:DeepStack|gavin.fintan.1 # 1479562220.21722
STATE:0:r300f:6s2d|QsJh:-100|100:gavin.fintan.1|DeepStack # 1479562344.99662
STATE:0:r200c/cc/r600r1800f:6h9c|QcQh/3s2cJd/8s:-600|600:gavin.fintan.1|DeepStack # 1479564325.85754
STATE:1:cc/cc/r300c/cr900c:8dTc|3dKc/5h9c8c/2c/5d:900|-900:DeepStack|gavin.fintan.1 # 1479564367.43449
STATE:2:f:QcTh|2c6s:50|-50:gavin.fintan.1|DeepStack # 1479564408.09464
STATE:3:r200f:4d2h|4c9h:-100|100:DeepStack|gavin.fintan.1 # 1479564414.07875
STATE:4:r300c/r750f:3s8s|6sQs/ThJcJh:300|-300:gavin.fintan.1|DeepStack # 1479564424.2878
STATE:5:r250c/cc/cr625f:9h7d|KhQh/AcJs5s/2h:-250|250:DeepStack|gavin.fintan.1 # 1479564447.67978
STATE:6:cc/cc/r300f:3sTd|5hQd/Ks6c9d/Th:100|-100:gavin.fintan.1|DeepStack # 1479564487.74825
STATE:7:r200r600c/cr1500c/cr3750c/cc:JcTd|9h7h/7c8hAc/Kd/4h:-3750|3750:DeepStack|gavin.fintan.1 # 1479564517.28686
STATE:8:r300c/cc/cc/cc:9sAh|5hJc/Ad8h2d/2c/Ts:300|-300:gavin.fintan.1|DeepStack # 1479564577.67789
STATE:9:r200f:3s8h|9dTs:-100|100:DeepStack|gavin.fintan.1 # 1479564619.01354
STATE:10:r300f:Qd3h|9hJs:-100|100:gavin.fintan.1|DeepStack # 1479564629.89242
STATE:11:r200c/cc/cc/r400c:6hQh|3hJh/2sAcJd/Qs/8c:400|-400:DeepStack|gavin.fintan.1 # 1479564643.63287
STATE:12:cc/cr200r500c/r1250f:2cTc|3cQh/JcKdAh/7s:500|-500:gavin.fintan.1|DeepStack # 1479564675.7797
STATE:13:cc/cc/cc/r300f:2sQd|7sTh/2c5d4s/8d/2d:100|-100:DeepStack|gavin.fintan.1 # 1479564714.40643
STATE:14:cc/cc/cc/r300r600c:8d9c|9hKd/5c2hAh/8c/Ad:600|-600:gavin.fintan.1|DeepStack # 1479564756.21402
STATE:15:r200c/cr400r800r1600f:Kd2h|KsJh/AcAd4s:-800|800:DeepStack|gavin.fintan.1 # 1479564801.08451
STATE:16:r300r750c/r1875c/r4687c/cr20000c:JsTs|7dKd/3d6dJc/2c/As:20000|-20000:gavin.fintan.1|DeepStack # 1479564833.4301
STATE:17:r200r600c/r1200r2400f:9hTh|4s4h/5c2d7d:-1200|1200:DeepStack|gavin.fintan.1 # 1479564883.54669
STATE:18:cc/cr300f:Qc3h|8s9h/5c4c5d:-100|100:gavin.fintan.1|DeepStack # 1479564917.02018
STATE:19:r200c/cc/r400c/cc:Jd7d|QcKc/4d7h5s/3h/Tc:400|-400:DeepStack|gavin.fintan.1 # 1479564946.85576
