STATE:20:r300r950c/cr2849c/cr5698c/cr20000c:ThAc|KcQc/Tc9cKs/5d/7s:-20000|20000:sun.fan.1|DeepStack # 1479101108.01511
STATE:21:r550f:7sJd|KdQh:-100|100:DeepStack|sun.fan.1 # 1479101175.68037
STATE:22:cr550f:8hKc|3dTc:100|-100:sun.fan.1|DeepStack # 1479101194.27155
STATE:23:cc/cc/cr200f:3d7c|9h9c/6hThQc/Jc:-100|100:DeepStack|sun.fan.1 # 1479101217.71136
STATE:24:r200c/cr400c/r950c/r1850f:5h8s|4c4s/Jh5s3s/Ah/9c:950|-950:sun.fan.1|DeepStack # 1479101257.3436
STATE:25:cc/cc/cr300f:4h9h|Jc5s/3c2sQs/Th:-100|100:DeepStack|sun.fan.1 # 1479101314.13426
STATE:26:cc/r300c/cc/cr900f:Kh5d|Qs7d/7h9c2d/Jh/Qd:-300|300:sun.fan.1|DeepStack # 1479101358.78385
STATE:27:r200c/cc/cr400c/cr1000c:Js5c|QcAc/QdJh4c/Ad/8d:-1000|1000:DeepStack|sun.fan.1 # 1479101413.63991
STATE:28:cc/r500f:4c2h|2cTd/6d4d5c:100|-100:sun.fan.1|DeepStack # 1479101470.91231
STATE:29:r550f:Ah8c|7s8s:-100|100:DeepStack|sun.fan.1 # 1479101496.18989
STATE:30:r300r1300f:7h9s|4h6c:300|-300:sun.fan.1|DeepStack # 1479101512.4964
STATE:31:cr300r700c/cc/r1400c/r4200f:TdQd|5h5c/QcAd2d/4h/Ts:1400|-1400:DeepStack|sun.fan.1 # 1479101538.04004
STATE:32:r200c/cr400c/r1000c/r3000c:Js8d|Th6c/7cTcTd/As/2s:-3000|3000:sun.fan.1|DeepStack # 1479101604.90743
STATE:33:cc/cr200c/cr600c/cc:5dTc|8dJs/Ad4sTd/Ah/Qc:600|-600:DeepStack|sun.fan.1 # 1479101655.64611
STATE:34:r200c/r500f:3d8h|5cQh/Th2c8c:200|-200:sun.fan.1|DeepStack # 1479101713.63964
STATE:35:r200c/cr500f:8dKh|4sJc/2c6d3d:-200|200:DeepStack|sun.fan.1 # 1479101740.34908
STATE:36:cr400f:KdQh|Ts4c:100|-100:sun.fan.1|DeepStack # 1479101765.3047
STATE:37:cr20000f:AcKs|7h9h:100|-100:DeepStack|sun.fan.1 # 1479101786.02538
STATE:38:r300c/cr900f:9c7c|Th7s/5hQs4s:-300|300:sun.fan.1|DeepStack # 1479101809.38279
STATE:39:f:Ks3d|6h4c:50|-50:DeepStack|sun.fan.1 # 1479104639.46862
STATE:40:r200c/cr600c/cr1200f:9dKs|6cAh/3d7s4h/Jh:-600|600:sun.fan.1|DeepStack # 1479105277.90431
STATE:41:r450c/cr1100r2200f:4h5h|Jh8c/4c5cQh:1100|-1100:DeepStack|sun.fan.1 # 1479105916.7843
STATE:42:r200c/r400c/r900c/r2250r6750c:4c7d|QhQd/3d6d2s/7h/2h:-6750|6750:sun.fan.1|DeepStack # 1479105987.91376
STATE:43:cr300c/r600c/r1200c/cc:6c4d|9h9d/4s5dAh/7h/2h:-1200|1200:DeepStack|sun.fan.1 # 1479106067.2514
STATE:44:cc/cr300r750f:8d5s|7d5h/6d2cTd:300|-300:sun.fan.1|DeepStack # 1479106121.61384
STATE:45:r300c/cr900f:9dKc|3d3s/4h4cAh:-300|300:DeepStack|sun.fan.1 # 1479106180.79788
STATE:46:cc/cr300c/cr900r2050r6150f:Js8d|QsTh/9cKd8c/6h:-2050|2050:sun.fan.1|DeepStack # 1479106216.19544
STATE:47:r900f:5h3c|7h2d:-100|100:DeepStack|sun.fan.1 # 1479106340.33054
STATE:48:cc/cc/cc/r200c:5dQd|9sAd/8s6c7s/3d/Qh:200|-200:sun.fan.1|DeepStack # 1479106357.9123
STATE:49:cc/cc/r200f:3d4s|Td7s/3c5d2h/3h:100|-100:DeepStack|sun.fan.1 # 1479106408.054
STATE:50:r300c/cr600r900c/r2100f:6dAc|TdKh/9h4c6s/3s:900|-900:sun.fan.1|DeepStack # 1479106448.65843
STATE:51:r400f:Jc2d|6sJh:-100|100:DeepStack|sun.fan.1 # 1479106499.24801
STATE:52:r300r700c/cc/cc/cr2100c:TdAd|Ts2s/3h9c3s/5d/Jh:2100|-2100:sun.fan.1|DeepStack # 1479106518.99794
STATE:53:cc/cr300f:Jd8c|4h6s/3h5sTh:-100|100:DeepStack|sun.fan.1 # 1479106602.89206
STATE:54:r300c/cr900f:3d6s|8d6h/7h9dTc:-300|300:sun.fan.1|DeepStack # 1479106646.70911
STATE:55:r300c/cc/cr900f:5h6d|Jh6c/JcKd4d/Kh:-300|300:DeepStack|sun.fan.1 # 1479106703.16975
STATE:56:r300c/cc/cc/cr900r2100f:8c4h|JsQc/9cKcQs/3s/3c:900|-900:sun.fan.1|DeepStack # 1479106772.31052
STATE:57:r400f:5cKd|2c2d:-100|100:DeepStack|sun.fan.1 # 1479106982.93785
STATE:58:cc/r300f:Jd2d|2hJs/Ks3c9h:100|-100:sun.fan.1|DeepStack # 1479107006.55148
STATE:59:cc/cr300c/cc/cc:3sTc|As3d/5s3h9c/2h/7s:-300|300:DeepStack|sun.fan.1 # 1479107037.10192
STATE:60:r200r800f:2d3c|8s6h:200|-200:sun.fan.1|DeepStack # 1479107113.14919
STATE:61:cc/cc/r300r600f:2c7s|JcKs/7d5h3d/Kc:-300|300:DeepStack|sun.fan.1 # 1479107136.27236
STATE:62:r200c/cc/r1000c/r5000f:5h8s|Ad7s/6d4hAc/Tc/9c:1000|-1000:sun.fan.1|DeepStack # 1479107173.52186
STATE:63:cc/cc/cc/cc:4cAd|Kc7h/4h9h2c/Jd/8s:100|-100:DeepStack|sun.fan.1 # 1479107230.85615
STATE:64:cc/cc/r200f:2hTc|6c3h/2cKdQc/Ks:100|-100:sun.fan.1|DeepStack # 1479107288.02196
STATE:65:r300f:4s2h|7s5h:-100|100:DeepStack|sun.fan.1 # 1479107349.86875
STATE:66:r200c/r500c/r1000r3000f:5sQc|7s7d/Th8s7c/Jh:-1000|1000:sun.fan.1|DeepStack # 1479107367.66148
STATE:67:cc/cc/r200f:4s3h|3c2s/7s4dJh/Jd:100|-100:DeepStack|sun.fan.1 # 1479107441.71179
STATE:68:r200f:Jd3c|7c8d:-100|100:sun.fan.1|DeepStack # 1479107488.35906
STATE:69:cr300c/cc/r600c/cr1450f:7h9d|2sTs/4sJs4d/Kh/7c:-600|600:DeepStack|sun.fan.1 # 1479107524.33362
STATE:70:cc/cc/r300f:9s5s|7dKd/Ts4cQh/6d:100|-100:sun.fan.1|DeepStack # 1479107635.55257
STATE:71:cr300r1300c/cr2900f:9hQh|4c5d/Ah6d4d:-1300|1300:DeepStack|sun.fan.1 # 1479107681.01492
STATE:72:cc/cc/r500f:2h9s|Kh2c/3cTd3d/6h:100|-100:sun.fan.1|DeepStack # 1479107739.10402
STATE:73:r500f:5c2d|5s7d:-100|100:DeepStack|sun.fan.1 # 1479107785.76204
STATE:74:cc/cr200c/cr600f:6hAd|3h7d/8sJsTh/3s:-200|200:sun.fan.1|DeepStack # 1479107823.81632
STATE:75:cr300c/cr700c/cr1700c/cc:8h8d|AcQd/3s3cTh/7h/9c:1700|-1700:DeepStack|sun.fan.1 # 1479107915.6744
STATE:76:r300f:5d2c|7c7h:-100|100:sun.fan.1|DeepStack # 1479108009.82827
STATE:77:cc/cc/cr300f:6s4d|3h8s/QcQs5c/5s:-100|100:DeepStack|sun.fan.1 # 1479108068.25223
STATE:78:r300r700c/cc/r1600f:9s2d|3hAd/2cTs9d/Ks:700|-700:sun.fan.1|DeepStack # 1479108106.37383
STATE:79:r300f:Ks5c|Jh5d:-100|100:DeepStack|sun.fan.1 # 1479108150.21219
STATE:80:r200r800c/r2000f:8h3c|JcAd/6cTh7c:800|-800:sun.fan.1|DeepStack # 1479108169.15612
STATE:81:r300r900c/r1800c/r3600f:JcTc|8h7d/QhTs7h/Qs:1800|-1800:DeepStack|sun.fan.1 # 1479108230.95579
STATE:82:r200c/r400c/cr800r1300c/cr3900c:Ts8d|7c3c/9hJcTc/Jh/Th:3900|-3900:sun.fan.1|DeepStack # 1479108309.14095
STATE:83:cr300c/cc/cr700c/cr1700c:8sAc|Qc4c/5sQhKc/Ah/Kh:1700|-1700:DeepStack|sun.fan.1 # 1479108393.85589
STATE:84:r300r700c/r2100r4200r6300r20000c//:QsAh|Ac4c/Ad4d2c/5s/Qc:20000|-20000:sun.fan.1|DeepStack # 1479108471.34198
STATE:85:cc/cr300c/cr750c/cc:5sJs|Kc3d/Qh9sJd/Jh/2d:750|-750:DeepStack|sun.fan.1 # 1479108549.80602
STATE:86:r200c/r500f:7c8h|QhJd/As6c4h:200|-200:sun.fan.1|DeepStack # 1479108613.56476
STATE:87:cr300r900f:6d7c|Qd7d:-300|300:DeepStack|sun.fan.1 # 1479108655.41131
STATE:88:cc/r200c/r500f:9h2s|5sAc/9cJs2d/7h:200|-200:sun.fan.1|DeepStack # 1479110389.46954
STATE:89:cr300c/r600c/r1200c/r6000f:Ad3d|4cJd/2dTcAh/Jh/3s:1200|-1200:DeepStack|sun.fan.1 # 1479110428.83493
STATE:90:r200c/r500c/cr1000c/cc:6dQh|3c4s/Kc2d6c/2h/3h:1000|-1000:sun.fan.1|DeepStack # 1479110702.33412
STATE:91:r400f:7s5c|JsKs:-100|100:DeepStack|sun.fan.1 # 1479113082.58022
STATE:92:r200c/r400c/cc/cc:JcQh|Jd8c/8sKhTh/4d/Tc:-400|400:sun.fan.1|DeepStack # 1479113098.41271
STATE:93:cr300c/r600f:QcJc|3d4d/Kh7c2h:300|-300:DeepStack|sun.fan.1 # 1479113197.02287
