STATE:47:r300r900c/r1800r3600r7200c/r14400r20000c/:8c9c|8hTh/6d8s9h/Ks/2c:20000|-20000:DeepStack|islam.jefri.1 # 1479521881.31832
STATE:48:cc/cr200c/cc/r600r3000f:6sQd|Jd2s/2h5sTh/As/8s:-600|600:islam.jefri.1|DeepStack # 1479521939.5678
STATE:49:r300f:9h5c|7s3c:-100|100:DeepStack|islam.jefri.1 # 1479521999.37979
STATE:50:r200r800f:8c7c|5d3h:200|-200:islam.jefri.1|DeepStack # 1479522012.04256
STATE:51:r300f:4d5c|2h5d:-100|100:DeepStack|islam.jefri.1 # 1479522034.69017
STATE:52:cc/cr200f:2d2h|4hKc/8h9cTc:-100|100:islam.jefri.1|DeepStack # 1479522047.23295
STATE:53:r300c/cr750c/cr1605c/cr10060f:4dAh|9hQd/5dAd9s/6h/9c:-1605|1605:DeepStack|islam.jefri.1 # 1479522074.31357
STATE:54:r300c/cr600r1225c/cr2450c/cr7350f:7hTs|6h5h/2hAs8d/Td/Jd:-2450|2450:islam.jefri.1|DeepStack # 1479522128.76983
STATE:55:r300c/cr750c/cr1875f:As4c|Ah9h/KhKs3d/7h:-750|750:DeepStack|islam.jefri.1 # 1479522192.89491
STATE:56:cr500c/cr1500c/cc/r3750f:Th8s|Qs9d/Jh8d3c/Kh/Ad:1500|-1500:islam.jefri.1|DeepStack # 1479522234.46379
STATE:57:r300r600c/r1200f:JcTd|6c4d/AhJs2h:600|-600:DeepStack|islam.jefri.1 # 1479522287.67059
STATE:58:cr300c/r750c/r1875c/cc:7cKs|5sKc/3h5d2h/8c/6h:-1875|1875:islam.jefri.1|DeepStack # 1479522318.48875
STATE:59:r300r600c/r1200c/r3600c/r7200r20000f:KcKd|3cAc/Jh3s2c/8s/9s:-7200|7200:DeepStack|islam.jefri.1 # 1479522372.35063
STATE:60:r300r1145f:Kc5c|Jh8d:300|-300:islam.jefri.1|DeepStack # 1479522449.0793
STATE:61:r300c/cc/r600f:AdTc|2hJh/7s4d9d/6s:300|-300:DeepStack|islam.jefri.1 # 1479522479.06341
STATE:62:r200c/cr400r1200f:Th4c|3d2d/4sTd8c:400|-400:islam.jefri.1|DeepStack # 1479522511.14664
STATE:63:r200c/cr600f:Th6h|3hKd/8sKc8c:-200|200:DeepStack|islam.jefri.1 # 1479522546.97343
STATE:64:r300c/cc/r900f:4hKd|9d7d/5s2dQs/Kh:300|-300:islam.jefri.1|DeepStack # 1479522571.45444
STATE:65:r300r900c/cr2250c/cr5050c/cc:8d7d|2s3d/5h6d3h/Ts/8s:5050|-5050:DeepStack|islam.jefri.1 # 1479522613.78707
STATE:66:r200c/cc/r1000f:Js2d|6c9c/9s5sKs/7c:200|-200:islam.jefri.1|DeepStack # 1479522681.50173
STATE:67:r300r900f:QsQc|9c2h:300|-300:DeepStack|islam.jefri.1 # 1479522711.90449
STATE:68:f:4s7s|9c3s:50|-50:islam.jefri.1|DeepStack # 1479522731.05845
STATE:69:r300c/cc/cr650f:9c5c|5d9h/3dTdJs/Ah:-300|300:DeepStack|islam.jefri.1 # 1479522738.40457
STATE:70:r200c/cr400r1200f:5c9s|Js6h/4d3h3s:400|-400:islam.jefri.1|DeepStack # 1479522774.86632
STATE:71:r300c/cr750f:9cQh|JcTc/5h7d6c:-300|300:DeepStack|islam.jefri.1 # 1479522805.11432
STATE:72:r200r850f:3cAc|8d5c:200|-200:islam.jefri.1|DeepStack # 1479522831.5676
STATE:73:r300r900f:6h6d|Jh4d:300|-300:DeepStack|islam.jefri.1 # 1479522851.87811
STATE:74:cr500f:Ac2c|2hJd:100|-100:islam.jefri.1|DeepStack # 1479522871.90543
STATE:75:r300c/cr655c/cr1810f:2c2d|KcTc/5d3dQc/Ac:-655|655:DeepStack|islam.jefri.1 # 1479522889.77882
STATE:76:r300r1155f:5dKd|Ac5h:300|-300:islam.jefri.1|DeepStack # 1479522937.8211
STATE:77:r300c/cc/cc/cc:Qc9d|7dAs/3c2dJh/9h/Jd:300|-300:DeepStack|islam.jefri.1 # 1479522958.18415
STATE:78:r200r855f:5hAc|5d3s:200|-200:islam.jefri.1|DeepStack # 1479523003.1195
STATE:79:r300f:2c6s|KsJs:-100|100:DeepStack|islam.jefri.1 # 1479523022.97264
STATE:80:r200c/cr400f:8s4h|9h8c/2sJcTd:-200|200:islam.jefri.1|DeepStack # 1479523036.92199
STATE:81:r200f:6c2s|3s5c:-100|100:DeepStack|islam.jefri.1 # 1479523067.07544
STATE:82:cc/cc/cr200f:5h8c|3h6c/3dTh3s/6h:-100|100:islam.jefri.1|DeepStack # 1479523157.58953
STATE:83:r300f:4s7d|Jh7h:-100|100:DeepStack|islam.jefri.1 # 1479523244.2996
