In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,1,A
In config file: ACTIONS_R3=F,C,1,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
51:BR,Player:0r130c/cr299c/cc/cc:4sTs,5hKh|/3s5cQc/2c/4d:-529,529(-321.368443)
52:Player,BR:0cr200c/cc/r150c/r900r18650f:9dAs,4hJc|/7sTsAd/Js/2h:-1350,1350(-1350.000000)
53:BR,Player:0r200c/cr900c/cc/r2400f:JcKd,5d9h|/8sJdQd/As/Ac:1200,-1200(1200.000000)
54:Player,BR:0cr300c/cc/r200r1200c/cc:QcKh,2dAc|/3hTsQh/3s/8h:1800,-1800(1756.837154)
55:BR,Player:0f:9sAc,4s9h|:50,-50(50.000000)
56:Player,BR:0cr300c/cc/cr800c/cc:7sAs,TsTh|/3d6sKh/5c/9s:-1200,1200(-1.550033)
57:BR,Player:0r130c/cc/cr299f:7d9h,TsKs|/3cTdJc/Kc:-230,230(-230.000000)
58:Player,BR:0cc/cc/cr200c/cc:4d7h,7sQc|/4cQhAc/2s/5c:-300,300(-47.867876)
59:BR,Player:0r130c/cc/cc/cr299r1058r9522r8891f:4dAs,9sJc|/9hTdJd/Ks/Kc:11109,-11109(11109.000000)
60:Player,BR:0cr300c/cc/cr800f:7hTh,3h8c|/5d8sQs/5c:-400,400(-400.000000)
61:BR,Player:0r130c/cr690c/cc/cr1196r17884f:4dKd,TsKh|/2s6cKc/5s/Jd:2116,-2116(2116.000000)
62:Player,BR:0cc/cc/r200f:6hJh,3c7s|/2d4h5h/9d:100,-100(100.000000)
63:BR,Player:0cc/cc/r19900f:5h8c,8hQs|/3s3cAh/6s:100,-100(100.000000)
64:Player,BR:0cr300c/cc/r200c/r780r2760f:8sKc,2c9h|/6s7cTh/Td/6h:-1380,1380(-1380.000000)
65:BR,Player:0r130c/cc/r19770f:8hTs,5h5c|/JdKsAs/6h:230,-230(230.000000)
66:Player,BR:0cr1200c/cc/cr18700f:3s9s,4cKc|/8cThAs/4s:-1300,1300(-1300.000000)
67:BR,Player:0cc/cr200c/cr600c/cc:4cAs,8c9d|/5c8h9c/Kd/Kc:-900,900(-813.513604)
68:Player,BR:0cr600c/r910c/cc/r805r17585f:3cAc,2dKs|/2h6dQc/3s/6s:-2415,2415(-2415.000000)
69:BR,Player:0r200c/cc/cc/cc:TcQs,2d2c|/3h7dKc/Jh/Js:-300,300(-207.638293)
70:Player,BR:0cc/cc/r130c/r460c:2c6h,4d7h|/3c4h8c/5c/5d:690,-690(70.258379)
71:BR,Player:0r200c/cc/cr390f:3h8h,7cTh|/5cJcAc/Ah:-300,300(-300.000000)
72:Player,BR:0cr300c/r520c/cr1840f:7dKc,3d5c|/4d9dTh/7h:-920,920(-920.000000)
73:BR,Player:0r130c/cc/r460f:4s4d,5c8c|/ThQdAs/Qh:230,-230(230.000000)
74:Player,BR:0cc/cc/r130c/r299r19471f:3dAc,6cJh|/8cTcAd/7c/4h:-529,529(-529.000000)
75:BR,Player:0r130c/cc/cr299r1058f:7hQc,2dAs|/JsJhKh/Jd:529,-529(529.000000)
76:Player,BR:0cc/r130c/r460r1380f:8hTc,4sAh|/9d9cKc/Qh:-690,690(-690.000000)
77:BR,Player:0r200c/cc/cc/r19700f:4d7d,TcAh|/5s9s9h/8c/Jd:300,-300(300.000000)
78:Player,BR:0cc/cc/cr200f:3dQd,9cAs|/7hJdJc/4h:-100,100(-100.000000)
79:BR,Player:0r130c/cc/r19770f:2c4h,5h8d|/5c6hJh/Kc:230,-230(230.000000)
80:Player,BR:0cc/cc/r130c/r299r19471f:6cAh,2sTd|/3h4cAc/Th/Jd:-529,529(-529.000000)
81:BR,Player:0r130c/cr299c/r1058f:9dKs,5cKh|/2c3s3h/9c:529,-529(529.000000)
82:Player,BR:0cc/cc/cc/r130c:2dKh,4dAh|/7cJdKs/Kd/8d:230,-230(99.748928)
83:BR,Player:0cc/cc/r200f:4h9d,2dKh|/5s6h9h/Ts:100,-100(100.000000)
84:Player,BR:0cc/cc/cr200f:2d7h,9hQd|/8hQhAc/Jc:-100,100(-100.000000)
85:BR,Player:0r130c/cc/r460c/cr897r3174f:2dTc,5hKc|/5d9cQd/Js/Td:1587,-1587(1587.000000)
86:Player,BR:0cc/cc/cr200f:4h5d,JcKd|/7h8h9s/Tc:-100,100(-100.000000)
87:BR,Player:0r130c/cc/r460f:QsKh,3cAs|/2s2cQh/Ts:230,-230(230.000000)
88:Player,BR:0cc/cc/r130c/r460r19310f:8cTd,2sJd|/6h7dQh/9c/Qd:-690,690(-690.000000)
89:BR,Player:0f:4d8d,2c8h|:50,-50(50.000000)
90:Player,BR:0cr300c/cc/cc/cr800f:9d9c,3s3c|/TdQhAd/7c/7s:-400,400(-400.000000)
91:BR,Player:0f:7dTh,2c4d|:50,-50(50.000000)
92:Player,BR:0cr600c/r910c/cr18390f:2cTc,KsAd|/4d6cJh/5h:-1610,1610(-1610.000000)
93:BR,Player:0r130c/cr460c/cc/r1380f:9hAd,JsQh|/7d8sTd/3h/Ah:690,-690(690.000000)
94:Player,BR:0cc/cc/r130r460f:6sKc,7dJd|/TdJhQh/4s:-230,230(-230.000000)
95:BR,Player:0f:7cAd,3dTc|:50,-50(50.000000)
96:Player,BR:0cc/cc/cc/cc:5cAs,4sQd|/7cJsKc/Td/Ks:100,-100(13.801831)
97:BR,Player:0cc/cc/r200f:4d9c,9sAd|/2h7hJs/7c:100,-100(100.000000)
98:Player,BR:0cc/cc/cc/cr200c:7cTd,8s9s|/5dThKh/2s/5c:300,-300(300.000000)
99:BR,Player:0r130c/cr460c/cc/r19310f:ThKh,5hQd|/3c5sJh/7d/As:690,-690(690.000000)
100:Player,BR:0cc/cc/cr200f:2sQc,7hKc|/3h7d9c/4h:-100,100(-100.000000)
101:BR,Player:0r130c/cc/cr299r19471f:9hAs,QdAc|/2s3d5h/5d:529,-529(529.000000)
102:Player,BR:0cr130c/cc/cc/cr19770f:JsKs,9sKh|/4sQsQh/2h/7s:-230,230(-230.000000)
103:BR,Player:0r130c/cr299c/cc/r19471f:5s6c,2cTc|/2sJsAh/5h/Th:529,-529(529.000000)
104:Player,BR:0cr600c/r8400c/cc/r1820f:5sAd,8cTd|/3s8dJh/Ah/9d:9100,-9100(9100.000000)
105:BR,Player:0r130c/cr299c/cc/cc:JhQd,5d7d|/4hQhKd/4s/Jd:529,-529(529.000000)
