In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
1:BR,Player:0f:QsKc,2d4h|:50,-50(50.000000)
56:Player,BR:0cr300c/cr1741f:KsKc,5hJc|/4s6hAd:-400,400(-400.000000)
57:BR,Player:0r200c/r1306f:2cQs,5h9d|/6s7sJd:300,-300(300.000000)
58:Player,BR:0cc/cr435f:TdKs,8cJh|/4d7dAs:-100,100(-100.000000)
59:BR,Player:0cc/cc/cr200c/cr600c:7cQc,4d8c|/3dTsTh/6d/Kd:900,-900(898.650346)
60:Player,BR:0cr300c/cr1741f:JhAs,5cQc|/3d4cKs:-400,400(-400.000000)
61:BR,Player:0r200c/r2627f:9cJh,8sQs|/5cTsKc:300,-300(300.000000)
62:Player,BR:0cr200c/cr427c/cc/r353f:7cAh,3sTd|/3d5s5d/4h/Ad:727,-727(727.000000)
63:BR,Player:0r130c/r2014f:7hQc,4h5c|/7c8hKh:230,-230(230.000000)
64:Player,BR:0cc/cr1761f:5dQh,2cAh|/3h8hKs:-100,100(-100.000000)
65:BR,Player:0r130c/r1001c/cc/cr5209f:6d7d,TdAc|/QhKsKd/5s/9h:-1231,1231(-1231.000000)
66:Player,BR:0cr300c/cr1741f:5hQd,2h4s|/4h7c8s:-400,400(-400.000000)
67:BR,Player:0r130c/r871f:TsAc,3c7c|/4c6hTh:230,-230(230.000000)
68:Player,BR:0cc/cr19900f:6sJd,JsAc|/8hKsAs:-100,100(-100.000000)
69:BR,Player:0r130c/r2014f:5cKd,3s3d|/7h9sQs:230,-230(230.000000)
70:Player,BR:0cc/cr100f:5hTh,5dAs|/4c6s6d:-100,100(-100.000000)
71:BR,Player:0r130c/r327c/cc/cr1513f:2dAs,QhKd|/3s3h8s/Td/Qs:-557,557(-557.000000)
72:Player,BR:0cr200c/r390r3004f:4s5s,8c9c|/8hJsQh:-690,690(-690.000000)
73:BR,Player:0f:7s7c,3hTs|:50,-50(50.000000)
74:Player,BR:0cc/cr379f:2sJd,QdKh|/3h4dKs:-100,100(-100.000000)
75:BR,Player:0cc/r876f:TcKc,4cJd|/3d5s7h:100,-100(100.000000)
76:Player,BR:0cc/cr761f:4hAs,9cQd|/3s6c9s:-100,100(-100.000000)
77:BR,Player:0r130c/r327r1030r1030c/cc/cr4683f:4dTs,QsKs|/6dQhQc/3s/3c:-2617,2617(-2617.000000)
78:Player,BR:0cc/cr876f:3s7d,4c7c|/2c5s6d:-100,100(-100.000000)
79:BR,Player:0r200c/r1306c/cr1544c/cc:8sAd,5sTc|/3c5h9c/Ac/4d:3150,-3150(971.609057)
80:Player,BR:0cc/cr876c/r584f:5h6c,2dKs|/3d6hQh/5d:976,-976(976.000000)
81:BR,Player:0r130c/r2014f:3s5h,6cQh|/4d5sTd:230,-230(230.000000)
