In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R3=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 13.
1:BR,Player:0f:7sTs,2cTd|:50,-50(50.000000)
42:Player,BR:0cc/cc/r130r2014r4633f:9hTs,2sAs|/7c8cJs/5h:2244,-2244(2244.000000)
43:BR,Player:0r130c/cr299c/r374f:4c8h,3s4d|/2hJhQh/7d:529,-529(529.000000)
44:Player,BR:0cc/cc/cr379f:6dQs,KcAh|/3h8cKd/8d:-100,100(-100.000000)
45:BR,Player:0r200c/cc/r1306f:6hJs,8cQc|/2sTcKd/Th:300,-300(300.000000)
46:Player,BR:0cc/cc/cr876f:2h4c,6dAs|/2d7c9d/Qh:-100,100(-100.000000)
47:BR,Player:0cc/cr200c/r9241f:3h7s,9dTs|/6d7dQs/Qh:300,-300(300.000000)
48:Player,BR:0cr200c/cc/cr427c/cr14725f:9cKc,JsKd|/5cTdAc/7s/4s:-727,727(-727.000000)
49:BR,Player:0r130c/cr299c/r186c/r333f:TsQh,5s8s|/7c9s9h/Ah/Ac:715,-715(715.000000)
50:Player,BR:0cr200c/cc/cr649c/cr1351f:7sTc,7dJs|/5dTsJc/Qd/9s:-949,949(-949.000000)
51:BR,Player:0r200c/cc/r1306f:3s5c,TcJs|/4sTdAc/3c:300,-300(300.000000)
52:Player,BR:0cc/cc/r130r4051f:4d6h,7dKs|/2h3cTs/9c:-230,230(-230.000000)
53:BR,Player:0r130c/cr299c/r374c/r5199f:2c9h,JhQh|/5c8sTh/4c/4d:903,-903(903.000000)
54:Player,BR:0cc/cc/cr124c/cr6000f:4cKh,7d8c|/2h8dJc/Kc/Ad:-224,224(-224.000000)
55:BR,Player:0r200c/cc/r2627f:4sJh,7sAc|/5h8dQh/9c:300,-300(300.000000)
56:Player,BR:0cc/cc/cr2679f:3h8c,2dQc|/6dTdQs/4h:-100,100(-100.000000)
57:BR,Player:0r130c/cc/r2014f:6d8h,9cJd|/4hJhKc/3c:230,-230(230.000000)
58:Player,BR:0cc/cc/r200r1306f:6h9c,8cKs|/9hTcAh/Qs:-300,300(-300.000000)
59:BR,Player:0r130c/cr299c/r100c/r16849f:2d5c,6c7d|/JcQcAd/7h/9d:629,-629(629.000000)
60:Player,BR:0cr300c/cc/r800r10508f:9sQs,8sAs|/2c3h8d/Jh:-1200,1200(-1200.000000)
61:BR,Player:0cc/cc/r435f:9sJd,3cQh|/6h8cAs/8s:100,-100(100.000000)
62:Player,BR:0cc/cc/r130r7085f:TcKd,2dJd|/3h4s5h/7d:-230,230(-230.000000)
63:BR,Player:0r200c/cc/r649f:5cKh,3d8d|/6h7hJd/Kc:300,-300(300.000000)
64:Player,BR:0cc/cc/cr761f:3sJc,TsAd|/6c7cAs/4h:-100,100(-100.000000)
65:BR,Player:0r130c/cc/r1751f:3hQd,4c5s|/7d9dAd/6d:230,-230(230.000000)
66:Player,BR:0cr300c/cc/cr495c/cr416r2289r13628f:QsKh,QhAs|/2d4h4c/7c/8c:-3600,3600(-3600.000000)
67:BR,Player:0r130c/cc/r573c/cc:8hTs,QhAc|/7dQcKc/7s/6d:-803,803(-803.000000)
68:Player,BR:0cc/cc/r130r6161f:2c5s,7h9h|/3h7s9d/Ac:-230,230(-230.000000)
69:BR,Player:0r130c/cc/r2014f:6c8c,8dKc|/7sKsAc/2c:230,-230(230.000000)
70:Player,BR:0cr130c/r299c/cr9317f:7d9s,8c9d|/3h5sAs/2h:-529,529(-529.000000)
71:BR,Player:0r130c/cr299c/cr687r5294f:3sAs,8hTh|/2s7c8c/5c:1216,-1216(1216.000000)
72:Player,BR:0cr300c/cc/cr569f:5s8s,7hJs|/6dKcAd/5c:-400,400(-400.000000)
73:BR,Player:0r200c/cc/r1306f:JcQd,7dKd|/2s6hTs/5d:300,-300(300.000000)
74:Player,BR:0cr300c/cc/cr495f:JdKh,2s7c|/3s7s8d/6c:-400,400(-400.000000)
75:BR,Player:0r130c/cc/r2014f:9hQc,6c7d|/7cKsAc/4d:230,-230(230.000000)
76:Player,BR:0cr300c/r520c/cr4005f:8cTc,2s9s|/2c6dQs/3s:-920,920(-920.000000)
77:BR,Player:0r200c/cc/r2627r6043r11030f:7hAh,6cAc|/4dThKd/6h:8970,-8970(8970.000000)
78:Player,BR:0cc/cc/cr876f:8cAd,6dAh|/9sQcKd/6c:-100,100(-100.000000)
79:BR,Player:0f:3cTh,2h7c|:50,-50(50.000000)
80:Player,BR:0cc/cc/r130c/cr573f:3c8h,5hKh|/7d9dJd/9s/8d:-230,230(-230.000000)
81:BR,Player:0cc/cc/r1761f:2h2d,2cKs|/6s7dJs/Ad:100,-100(100.000000)
82:Player,BR:0cr200c/cc/r150r3940f:7d7c,7hQh|/6d8s9h/Ac:-450,450(-450.000000)
83:BR,Player:0r130c/cc/r4051f:2cTh,7d8d|/2s3d6h/Qh:230,-230(230.000000)
84:Player,BR:0cc/cc/cr1761f:3hKh,2h2c|/3s6d8h/5s:-100,100(-100.000000)
85:BR,Player:0r300c/cc/r283f:6hJs,5hJd|/4d7sTc/4c:400,-400(400.000000)
86:Player,BR:0cr200c/cc/cr371c/r100r10268f:9sQs,9dAs|/4h5hJh/9c/7d:-771,771(-771.000000)
87:BR,Player:0r200c/cc/r2627f:4sQh,4hJs|/9hJcAd/5c:300,-300(300.000000)
88:Player,BR:0cc/cc/cr8194f:2d7s,5cQd|/2s5s8d/Qh:-100,100(-100.000000)
89:BR,Player:0f:2hJs,2c9s|:50,-50(50.000000)
90:Player,BR:0cc/cc/cr142c/cr1393f:8sJh,4s5s|/ThQhQd/7c/Ts:-242,242(-242.000000)
91:BR,Player:0r130c/cc/r1751f:7dJs,KdAc|/4s5dJc/6d:230,-230(230.000000)
92:Player,BR:0cr300c/r520c/cr4005r9887f:9sAs,4dKd|/3d9dAh/Qs:4925,-4925(4925.000000)
93:BR,Player:0r200c/cc/r1306c/cr4694r13636f:8sJc,7dAs|/2d4cAh/Ad/Qs:6300,-6300(6300.000000)
94:Player,BR:0cc/cc/cr3080f:2s6d,3d6h|/7h9sKd/4s:-100,100(-100.000000)
