In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,1,A
In config file: ACTIONS_R3=F,C,1,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 13.
1:BR,Player:0f:7sTs,2cTd|:50,-50(50.000000)
53:BR,Player:0r130c/cr299c/cr1587f:2c9h,JhQh|/5c8sTh/4c:-529,529(-529.000000)
54:Player,BR:0cc/cc/r130c/r299r19471f:4cKh,7d8c|/2h8dJc/Kc/Ad:-529,529(-529.000000)
55:BR,Player:0cc/cc/cc/cr200r19700f:4sJh,7sAc|/5h8dQh/9c/Ah:300,-300(300.000000)
56:Player,BR:0cc/cc/cr200f:3h8c,2dQc|/6dTdQs/4h:-100,100(-100.000000)
57:BR,Player:0cc/cc/r200c/r19700f:6d8h,9cJd|/4hJhKc/3c/Ks:300,-300(300.000000)
58:Player,BR:0cc/cc/cc/cc:6h9c,8cKs|/9hTcAh/Qs/7d:100,-100(20.898996)
59:BR,Player:0r200c/cc/r600f:2d5c,6c7d|/JcQcAd/7h:300,-300(300.000000)
60:Player,BR:0cr200c/cc/r900r18800f:9sQs,8sAs|/2c3h8d/Jh:-1200,1200(-1200.000000)
61:BR,Player:0r130c/cc/cc/r460f:9sJd,3cQh|/6h8cAs/8s/8d:230,-230(230.000000)
62:Player,BR:0cr200c/cc/cr600f:TcKd,2dJd|/3h4s5h/7d:-300,300(-300.000000)
63:BR,Player:0r130c/cr299c/r1058f:5cKh,3d8d|/6h7hJd/Kc:529,-529(529.000000)
64:Player,BR:0cc/cc/cr200f:3sJc,TsAd|/6c7cAs/4h:-100,100(-100.000000)
65:BR,Player:0r200c/cc/r600f:3hQd,4c5s|/7d9dAd/6d:300,-300(300.000000)
66:Player,BR:0cr200c/cc/cr600f:QsKh,QhAs|/2d4h4c/7c:-300,300(-300.000000)
67:BR,Player:0r130c/cc/cr460r19310f:8hTs,QhAc|/7dQcKc/7s:690,-690(690.000000)
68:Player,BR:0cc/cc/r130r460f:2c5s,7h9h|/3h7s9d/Ac:-230,230(-230.000000)
69:BR,Player:0r200c/cc/r600c/r1800f:6c8c,8dKc|/7sKsAc/2c/7d:900,-900(900.000000)
70:Player,BR:0cr130c/r299c/cr19471f:7d9s,8c9d|/3h5sAs/2h:-529,529(-529.000000)
71:BR,Player:0r130c/cr299c/cr687f:3sAs,8hTh|/2s7c8c/5c:-529,529(-529.000000)
72:Player,BR:0cr300c/cc/cr800f:5s8s,7hJs|/6dKcAd/5c:-400,400(-400.000000)
73:BR,Player:0r200c/cc/r600f:JcQd,7dKd|/2s6hTs/5d:300,-300(300.000000)
74:Player,BR:0cc/cc/cr200f:JdKh,2s7c|/3s7s8d/6c:-100,100(-100.000000)
75:BR,Player:0r130c/cc/cc/cc:9hQc,6c7d|/7cKsAc/4d/2s:-230,230(-107.617639)
76:Player,BR:0cr200c/r390c/cc/cr1380f:8cTc,2s9s|/2c6dQs/3s/Js:-690,690(-690.000000)
77:BR,Player:0cc/cc/r200c/cc:7hAh,6cAc|/4dThKd/6h/Td:-300,300(-218.266069)
78:Player,BR:0cr200c/cc/cc/cr19700f:8cAd,6dAh|/9sQcKd/6c/8h:-300,300(-300.000000)
79:BR,Player:0f:3cTh,2h7c|:50,-50(50.000000)
80:Player,BR:0cc/cc/r130c/cr460f:3c8h,5hKh|/7d9dJd/9s/8d:-230,230(-230.000000)
81:BR,Player:0r130c/cr460c/cr1380c/cc:2h2d,2cKs|/6s7dJs/Ad/Kh:-2070,2070(-1070.572817)
82:Player,BR:0cr600c/cc/r140r1680r7560f:7d7c,7hQh|/6d8s9h/Ac:2520,-2520(2520.000000)
83:BR,Player:0r130c/cc/cr299r19471f:2cTh,7d8d|/2s3d6h/Qh:529,-529(529.000000)
84:Player,BR:0cc/cc/cc/cr19900f:3hKh,2h2c|/3s6d8h/5s/Qs:-100,100(-100.000000)
85:BR,Player:0r130c/cr299c/r1058f:6hJs,5hJd|/4d7sTc/4c:529,-529(529.000000)
86:Player,BR:0cr200c/cc/r150c/r225c:9sQs,9dAs|/4h5hJh/9c/7d:-675,675(5.884124)
87:BR,Player:0r130c/cc/cr299r19471f:4sQh,4hJs|/9hJcAd/5c:529,-529(529.000000)
88:Player,BR:0cc/cc/cr19900f:2d7s,5cQd|/2s5s8d/Qh:-100,100(-100.000000)
89:BR,Player:0f:2hJs,2c9s|:50,-50(50.000000)
90:Player,BR:0cc/cc/cr200c/cr600f:8sJh,4s5s|/ThQhQd/7c/Ts:-300,300(-300.000000)
91:BR,Player:0r130c/cc/r460f:7dJs,KdAc|/4s5dJc/6d:230,-230(230.000000)
92:Player,BR:0cr300c/r2400c/r3640f:9sAs,4dKd|/3d9dAh/Qs:2800,-2800(2800.000000)
93:BR,Player:0cc/cc/cr200r19700f:8sJc,7dAs|/2d4cAh/Ad:300,-300(300.000000)
94:Player,BR:0cc/cc/cr200f:2s6d,3d6h|/7h9sKd/4s:-100,100(-100.000000)
95:BR,Player:0r130c/cc/cr299r19471f:6h9d,4hAh|/9cTcQs/Kc:529,-529(529.000000)
96:Player,BR:0cc/cc/cr200c/cr600f:TdKh,3h6d|/4d6sTc/Qh/As:-300,300(-300.000000)
97:BR,Player:0f:8dTh,3d7s|:50,-50(50.000000)
98:Player,BR:0cc/cc/cr200c/cc:4d8h,9sQc|/2hTcQh/8s/9c:-300,300(-235.331539)
99:BR,Player:0f:5sTs,2s6h|:50,-50(50.000000)
100:Player,BR:0cc/cc/cr200c/cr19700f:3d8c,2cAs|/4s8hTh/2h/Qc:-300,300(-300.000000)
101:BR,Player:0r130c/cc/cc/r19770f:4hKd,2h3h|/2s9cJh/Ac/Js:230,-230(230.000000)
102:Player,BR:0cc/cc/cr200f:9sJc,5sAd|/6h8d8c/8s:-100,100(-100.000000)
103:BR,Player:0r200c/cr390c/cc/r19310f:5dQc,9hQd|/7d8hTs/9s/8d:690,-690(690.000000)
104:Player,BR:0cc/cc/r130f:4s9s,2c6h|/5sKsAd/Jh:100,-100(100.000000)
105:BR,Player:0cc/cr130c/r19770f:7hQh,2sQs|/3s8sTh/6c:230,-230(230.000000)
106:Player,BR:0cc/cc/cr200f:2h7c,3s8h|/7sJhKd/9s:-100,100(-100.000000)
107:BR,Player:0f:KdAd,2c6s|:50,-50(50.000000)
108:Player,BR:0cc/cc/cr200f:3dJs,TsKd|/3hThAs/5h:-100,100(-100.000000)
109:BR,Player:0r130c/cc/r460c/cr1380r4140f:2sJs,8s9s|/4hTsTc/Jc/5d:2070,-2070(2070.000000)
110:Player,BR:0cc/r130c/cr460f:7s8c,JdAh|/4cKdAs/3d:-230,230(-230.000000)
111:BR,Player:0r130c/cr299c/cr1058c/cc:2dJd,2cQh|/3c8hJs/3d/4c:1587,-1587(1587.000000)
112:Player,BR:0cc/cc/cr200f:3c8d,5hJs|/3h7cQh/5s:-100,100(-100.000000)
113:BR,Player:0r130c/cr299c/cc/r19471f:7cTs,5dTh|/6d8hQc/6h/7s:529,-529(529.000000)
114:Player,BR:0cr300c/cc/cr800f:JcKd,7sJd|/2h5s6s/4c:-400,400(-400.000000)
115:BR,Player:0r130c/cr460c/cc/cc:3cJd,9dTd|/3d5c6s/4s/Qc:690,-690(-389.877478)
116:Player,BR:0cc/cc/cr200c/cc:3cJh,2hKs|/7hKhAh/Qd/As:-300,300(-149.003802)
117:BR,Player:0r130c/cc/cr460r1380f:KcAh,5sAd|/2c9dTc/5d:690,-690(690.000000)
118:Player,BR:0cr300c/cc/cr800f:7sAs,6sAc|/4d7h8h/Qd:-400,400(-400.000000)
119:BR,Player:0cc/cc/r200c/cr900f:3s9h,4c7c|/6cKdAc/8h/9c:-300,300(-300.000000)
120:Player,BR:0cc/cc/cr200f:2sAc,4c7c|/3h9dQc/7h:-100,100(-100.000000)
121:BR,Player:0r130c/cc/r460f:QhAh,TdKs|/4d7sAs/6c:230,-230(230.000000)
122:Player,BR:0cc/cc/r200f:5sQh,8c9c|/3hJhQc/4h:100,-100(100.000000)
123:BR,Player:0r130c/cc/r460f:2sAh,4c5s|/2h8d9h/Qs:230,-230(230.000000)
124:Player,BR:0cc/cc/cr200c/cr19700f:3d6s,8hAc|/3h7sQs/4h/Jc:-300,300(-300.000000)
125:BR,Player:0r130c/cr299c/cc/r1058f:8cKc,3c5d|/3dQhQd/4h/Jd:529,-529(529.000000)
126:Player,BR:0cc/cc/cc/cc:3cKc,6sAs|/7h9hJs/Th/Jd:-100,100(35.218167)
127:BR,Player:0r130c/cc/cc/r19770f:4h7d,9cJh|/7sTsTc/Ah/7c:230,-230(230.000000)
128:Player,BR:0cc/cc/r200r600f:6s8h,QhKh|/9cTcQc/5d:-300,300(-300.000000)
129:BR,Player:0f:8dQc,3h9d|:50,-50(50.000000)
130:Player,BR:0cc/cc/cc/cc:7hTd,8hQh|/4cJsKs/4s/2h:-100,100(22.503961)
131:BR,Player:0cc/cc/r200r390f:2c9s,7hJs|/5s9hTc/8d:-300,300(-300.000000)
132:Player,BR:0cc/cc/r130f:4c5s,3d5d|/2cQsKh/6c:100,-100(100.000000)
133:BR,Player:0cc/cr200c/r600r1170r17930f:7s7c,3d6s|/7h7dKs/6d:2070,-2070(2070.000000)
134:Player,BR:0cc/cc/r130c/r299c:6h8d,QhKd|/6c8cTd/2s/2d:529,-529(-131.445921)
135:BR,Player:0cc/cc/cc/r19900f:5c8c,5hQd|/2cThJh/2d/Js:100,-100(100.000000)
136:Player,BR:0cc/cc/cr200f:6dQd,2s3c|/4c9hAs/Js:-100,100(-100.000000)
137:BR,Player:0f:5cAh,3s8d|:50,-50(50.000000)
138:Player,BR:0cc/cc/cr200f:3dQs,6cJh|/7d7cJs/8s:-100,100(-100.000000)
139:BR,Player:0cc/cc/r200c/r600f:KcAc,2dKh|/3c4dAd/Qs/8c:300,-300(300.000000)
140:Player,BR:0cr300c/cc/r800r2400f:9dQh,6d8d|/2h4d5c/Tc:-1200,1200(-1200.000000)
141:BR,Player:0r200c/cc/r600c/r19100f:5cAs,KsKd|/2d3c4d/9h/Qs:900,-900(900.000000)
142:Player,BR:0cr200c/cc/r150c/r225r19325f:TdAc,4c8h|/3c4dKd/2h/5s:-675,675(-675.000000)
143:BR,Player:0f:6cAh,3d8s|:50,-50(50.000000)
