In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
54:Player,BR:0cr300c/cr1741f:6cKc,5s6d|/5d9hTs:-400,400(-400.000000)
55:BR,Player:0r130c/r2014f:2h6c,7sQc|/4d9s9d:230,-230(230.000000)
56:Player,BR:0cr200c/cr2627c/cc/r2923f:6cTc,4sJd|/QsQcAc/Js/8c:2927,-2927(2927.000000)
57:BR,Player:0r130c/r1001f:2c4d,6sAc|/7dTdKs:230,-230(230.000000)
58:Player,BR:0cc/cr435c/cc/r515f:TcQs,9cAs|/6s8cJh/9s/5s:535,-535(535.000000)
59:BR,Player:0r130c/r573f:5hKc,4dKd|/3h6hTh:230,-230(230.000000)
60:Player,BR:0cr200c/r390r2612f:TsJd,3dAh|/5h6cAd:-690,690(-690.000000)
61:BR,Player:0r130c/r1001c/cr1184f:9hAh,QsQh|/4c5s8d/6c:-1231,1231(-1231.000000)
62:Player,BR:0cc/cr876f:5s9c,3dAc|/2c7hKs:-100,100(-100.000000)
63:BR,Player:0r130c/r19770f:QdAd,8s8h|/3d6d9d:230,-230(230.000000)
64:Player,BR:0cr130c/cc/cc/cc:7cAs,5dAh|/4dJhKc/9d/6d:230,-230(192.989044)
65:BR,Player:0cc/r1532c/cr100c/cr2753f:4d7d,3cAs|/4h7cAc/Ad/Kc:-1732,1732(-1732.000000)
66:Player,BR:0cr300c/r520r4005f:JsQs,6c8d|/2h4c9c:-920,920(-920.000000)
67:BR,Player:0r130c/r2014f:3cKc,6s6d|/3sJsQs:230,-230(230.000000)
68:Player,BR:0cc/cr1761f:3sAh,2hQd|/2s9d9c:-100,100(-100.000000)
69:BR,Player:0cc/cc/cc/cc:5sQh,3dKc|/2d2c7s/6d/6s:-100,100(-26.151494)
70:Player,BR:0cc/cr761f:3dKh,2s6h|/2h5c6c:-100,100(-100.000000)
71:BR,Player:0r130c/r871f:7hAc,4sTd|/JsKcAd:230,-230(230.000000)
72:Player,BR:0cr300c/cr1741c/r1219c/r672f:7h8d,2s4c|/2d6s7d/Qd/5d:3360,-3360(3360.000000)
73:BR,Player:0r130c/r1001c/cc/cc:6h9d,8dJd|/4d5hJc/5d/4c:-1231,1231(-1231.000000)
74:Player,BR:0cc/cr100f:6sTc,6h6d|/4d7sJs:-100,100(-100.000000)
75:BR,Player:0r130c/r1001f:5sJh,TsJs|/2d3h6c:230,-230(230.000000)
76:Player,BR:0cc/r200r1136f:3cTc,3s5d|/2d4h6c:-300,300(-300.000000)
77:BR,Player:0r130c/r1001f:6cQc,6dKd|/2d7cTh:230,-230(230.000000)
78:Player,BR:0cr200c/r390r1718c/r904c/r1656c:7s9s,8cKd|/4h6sKs/Qh/Tc:-4968,4968(-840.169568)
79:BR,Player:0r130c/r2014f:5dQh,4sAc|/8cKsKh:230,-230(230.000000)
80:Player,BR:0cr300c/r520r520c/r768f:QcKc,6d6c|/3c7hKd/9c:1440,-1440(1440.000000)
81:BR,Player:0r130c/r327f:2sJd,3d8d|/5sKcAs:230,-230(230.000000)
82:Player,BR:0cc/cr876f:4d8h,TsJh|/4s5c9s:-100,100(-100.000000)
83:BR,Player:0r130c/r871f:QsAh,9dJs|/9hTcAc:230,-230(230.000000)
84:Player,BR:0cr300c/cr569r3831r3831r11369f:4h6h,JsKd|/5c7d8h:8631,-8631(8631.000000)
85:BR,Player:0r130c/r2014f:JsKc,3cQc|/2s7h9s:230,-230(230.000000)
86:Player,BR:0cc/cr435f:4sTc,6h7c|/2sTdQc:-100,100(-100.000000)
87:BR,Player:0r130c/r1001r2472r2472r13825f:4d8d,6c7s|/4h5s7d:-6175,6175(-6175.000000)
88:Player,BR:0cr300c/cr1741f:JdQh,8sAd|/3h5c7s:-400,400(-400.000000)
89:BR,Player:0r130c/r1001f:8c9h,6c7h|/4sQcKs:230,-230(230.000000)
90:Player,BR:0cr300c/cr1741r17459f:3dQd,6sQs|/5d8dAh:2141,-2141(2141.000000)
91:BR,Player:0r130c/r498c/cr307c/cr2070c:KcAs,JsKs|/2s3s3h/Kh/4d:3105,-3105(1474.693071)
92:Player,BR:0cc/cr124c/cc/cc:8sKd,7sQs|/5s5dQd/Js/2s:-224,224(-214.030698)
93:BR,Player:0r200c/r1306r3224f:2s7s,4s9s|/6d7h8c:-1606,1606(-1606.000000)
94:Player,BR:0cc/cr3080f:5s6h,2d8d|/7c9cQs:-100,100(-100.000000)
95:BR,Player:0f:KhAc,2h4s|:50,-50(50.000000)
96:Player,BR:0cr300c/cr1741f:8c9h,2cTd|/7h9cKs:-400,400(-400.000000)
97:BR,Player:0r130c/r2014f:KsAh,4s7s|/2s8sJh:230,-230(230.000000)
98:Player,BR:0cc/cr435f:7cJd,3cQd|/7hKhAs:-100,100(-100.000000)
99:BR,Player:0r130c/r2014f:7sAc,4hQd|/6sTdKd:230,-230(230.000000)
100:Player,BR:0cc/cr8194f:JhQd,4hAs|/AhAdAc:-100,100(-100.000000)
101:BR,Player:0r130c/r1001f:5cQc,6dJd|/2s8s9d:230,-230(230.000000)
102:Player,BR:0cc/cr124f:3s7h,5hAs|/2dJsJc:-100,100(-100.000000)
103:BR,Player:0r130c/r1001f:7s8d,4s7c|/4hThQh:230,-230(230.000000)
104:Player,BR:0cr200c/r600f:9cTc,2h9s|/8dQhQc:300,-300(300.000000)
105:BR,Player:0r200c/r371f:9dKc,6cKh|/4s9cQs:300,-300(300.000000)
106:Player,BR:0cc/cr876f:2d6s,7d8d|/JhKcAs:-100,100(-100.000000)
107:BR,Player:0r130c/r163r987r6008f:KsAs,2dJd|/3c5d8h:1380,-1380(1380.000000)
108:Player,BR:0cc/cr124c/cc/cc:7dAh,9cAc|/4s9dKs/9h/Qh:-224,224(-215.957889)
109:BR,Player:0cc/r435f:3sAd,7s8d|/3cJcQd:100,-100(100.000000)
110:Player,BR:0cc/cr1761f:7hAc,5c8d|/3s3d6h:-100,100(-100.000000)
111:BR,Player:0r200c/r2284c/cc/cc:4dAd,8sAc|/4cJhAs/5c/7d:2584,-2584(2582.690931)
112:Player,BR:0cr130c/r299r299r3404r6023f:6c9c,6hJd|/5hKcAs:-4232,4232(-4232.000000)
113:BR,Player:0r130c/cc/cc/cc:3dKh,6dAc|/5sJsJh/7c/8d:-230,230(-230.000000)
114:Player,BR:0cc/cr435c/cc/r305c:6dQd,6sAc|/2d5d7h/Ah/9d:840,-840(-645.373546)
115:BR,Player:0r130c/r1001c/cc/cc:5hJh,6cQh|/5cTdQd/Ks/8d:-1231,1231(-1231.000000)
116:Player,BR:0cr130c/r460r982r3089f:TcQs,3cTs|/9sJcKh:1672,-1672(1672.000000)
117:BR,Player:0r130c/r2014f:4h6c,KdAd|/2c5c8h:230,-230(230.000000)
118:Player,BR:0cr300c/cr3503f:9cTh,4d6d|/7d8c9h:-400,400(-400.000000)
119:BR,Player:0r130c/r163f:7s7c,3d5d|/TsJsJc:230,-230(230.000000)
120:Player,BR:0cr200c/r390r3004f:9sKs,2sAh|/3h7h8s:-690,690(-690.000000)
121:BR,Player:0r200c/r371c/cr1129c/cr2340c:8cTs,4cKh|/7d8dKs/4s/Td:-4140,4140(-1022.588950)
122:Player,BR:0cc/cr876f:2c5s,2s5h|/3c6cKc:-100,100(-100.000000)
123:BR,Player:0r130c/r2014f:4h5h,TdQh|/5d7cKc:230,-230(230.000000)
124:Player,BR:0cr200c/cr1306f:4cQc,3h3d|/8sJsAs:-300,300(-300.000000)
125:BR,Player:0r200c/r2627f:8cJc,JdKs|/5d9hQc:300,-300(300.000000)
126:Player,BR:0cc/cr3080f:3h6h,5d8c|/4h9sJs:-100,100(-100.000000)
127:BR,Player:0r130c/r2014f:3d4h,9cKs|/6h7c8h:230,-230(230.000000)
128:Player,BR:0cc/cr3080f:7hQs,3d7c|/3sTsAc:-100,100(-100.000000)
129:BR,Player:0r130c/r2014f:9hJd,2hKd|/3c6c7h:230,-230(230.000000)
130:Player,BR:0cc/cr876f:3s5c,4d7h|/2s6sQc:-100,100(-100.000000)
131:BR,Player:0f:9hTd,2s3c|:50,-50(50.000000)
132:Player,BR:0cc/cr876f:6dAc,6sJs|/6h7cTs:-100,100(-100.000000)
133:BR,Player:0r200c/r1136r1324r3928f:7cTd,5dKh|/7d8dJd:2760,-2760(2760.000000)
134:Player,BR:0cr200c/r390r3004f:QdKd,4s9c|/4hTcJd:-690,690(-690.000000)
135:BR,Player:0r130c/r1001f:8hQh,3hKh|/3d4c9s:230,-230(230.000000)
136:Player,BR:0cr300c/r520r4005f:9dAc,QcAd|/3h6c9h:-920,920(-920.000000)
137:BR,Player:0f:JhAd,3h7d|:50,-50(50.000000)
