In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
54:BR,Player:0r130c/cr299c/cc/cc:KhAc,5hKc|/2h3c8s/Tc/9c:529,-529(-168.343241)
55:Player,BR:0cc/cc/r200c/r600c:3c6d,6c9c|/7cJsAd/Qh/6s:0,-0(-290.858248)
56:BR,Player:0r130c/cr299f:3h4s,TdKc|/6c7dTh:-230,230(-230.000000)
57:Player,BR:0cr130c/r299c/r1058f:4cQc,TsTh|/3cJhAc/2c:529,-529(529.000000)
58:BR,Player:0cc/cc/cc/cr300c:8cJd,4d7h|/6cAsAh/2c/3h:400,-400(400.000000)
59:Player,BR:0cr200c/r390c/cc/r345f:3d3c,3hJs|/3s7h9s/Ts/9h:690,-690(690.000000)
60:BR,Player:0f:4c8s,3sTh|:50,-50(50.000000)
61:Player,BR:0cc/cc/cc/cc:2h3s,3cQd|/4d9dKs/7h/6d:-100,100(46.199395)
62:BR,Player:0r130c/cc/cr299c/cr687c:3sAd,4hQd|/3cJdQc/2s/5s:-1216,1216(495.641295)
63:Player,BR:0cr300c/cc/r1200c/r2080c:3h5d,3dKs|/8cQhAs/2d/7d:-3680,3680(-1359.245902)
64:BR,Player:0r200c/cc/cc/cr600c:2dTs,7s9d|/4cQdAc/6c/2s:900,-900(308.836410)
65:Player,BR:0cc/cc/cc/cc:9dKc,KdAh|/4sQsQc/6d/Jh:-100,100(-54.648559)
66:BR,Player:0r130c/cc/cc/cc:9sTs,6sKs|/4h8dAh/3s/3d:-230,230(-230.000000)
67:Player,BR:0cc/cc/cc/r300c:7hQs,7dKs|/2d6cTh/4h/Jd:-400,400(12.098622)
68:BR,Player:0r130c/cr299c/cr687c/cc:5dKc,3h4h|/4s6d7s/Ks/5s:-1216,1216(-1160.048026)
69:Player,BR:0cc/cc/cc/r130c:8dKc,3dAs|/QsKsAh/Qd/4d:-230,230(-161.091334)
70:BR,Player:0r200c/cc/cc/cr600c:7cTc,6sTs|/3dTdAh/8c/Th:0,-0(130.733449)
71:Player,BR:0cc/cc/cc/cc:6cTh,QsQd|/5cJsQh/2c/4d:-100,100(-94.378544)
72:BR,Player:0r200c/cr390c/cc/cr1380c:7c8s,3h5h|/9sJcAh/7s/Tc:2070,-2070(2012.064646)
73:Player,BR:0cc/cc/cc/r130f:5sAh,6d7h|/JsJhQh/3c/Ac:100,-100(100.000000)
74:BR,Player:0r130c/cc/cc/cc:2cAc,3d5c|/5hJcAs/6s/4c:230,-230(230.000000)
75:Player,BR:0cr300c/cc/cc/r200f:2dTd,7dAh|/8s8cTc/5h/Kc:400,-400(400.000000)
76:BR,Player:0r130c/cc/cr115c/cr1035c:JcQs,4dTc|/6sQcKh/8d/Qd:1380,-1380(1211.145523)
77:Player,BR:0cc/cc/r130f:4hJd,2c6d|/7hAsAc/4d:100,-100(100.000000)
78:BR,Player:0r130c/cr690c/cr1840f:3cJh,TdAc|/7dJdQc/Ad:-920,920(-920.000000)
79:Player,BR:0cc/cc/cc/cc:4cQh,3s6c|/5s7cTs/4s/7s:-100,100(-56.738811)
80:BR,Player:0f:9dKh,3d7h|:50,-50(50.000000)
81:Player,BR:0cc/cc/cc/cc:JsQc,6h6d|/2h8hTh/6c/Jc:-100,100(-95.000461)
82:BR,Player:0r130c/cr299c/cc/cc:9hJc,ThKh|/6s7dQc/4s/Qd:-529,529(-167.576824)
83:Player,BR:0cc/cc/cc/cc:4hJh,JcAh|/ThTdKh/Ac/8h:100,-100(-82.906625)
84:BR,Player:0r300c/cc/cc/cr520c:4dQh,3c9c|/7d8cKd/5h/Qs:920,-920(910.678722)
85:Player,BR:0cc/cc/cc/cc:TcKd,4d6s|/2h5hJs/4s/7h:-100,100(-40.520593)
86:BR,Player:0cc/cc/cc/cr600c:2sTs,4h9c|/2c5sKs/Qh/5h:700,-700(700.000000)
87:Player,BR:0cr600c/cc/r140c/r1092f:KhKc,2h2c|/4cJsKd/9s/4d:840,-840(840.000000)
88:BR,Player:0f:7cKd,3h8s|:50,-50(50.000000)
89:Player,BR:0cc/cc/cc/cc:2s8h,TcJd|/7h9cKd/8d/5c:-100,100(-99.833430)
90:BR,Player:0r200c/cr390c/cc/cr2070f:2cKh,6hTs|/5s7sJs/Ac/Ks:-690,690(-690.000000)
91:Player,BR:0cr200c/r390f:6cJc,3sTs|/5h8c9h:300,-300(300.000000)
92:BR,Player:0r130c/cc/cc/cr299f:8dJh,QsAh|/2c4cKs/Qh/6d:-230,230(-230.000000)
93:Player,BR:0cc/cc/cc/cc:3c6d,2s5s|/2cQcAd/Ah/7d:-100,100(-54.481959)
94:BR,Player:0f:7h8s,2h7s|:50,-50(50.000000)
95:Player,BR:0cr600c/r910c/r805c/r3139f:8dJs,4dKh|/8hJdQh/Jh/Qd:2415,-2415(2415.000000)
96:BR,Player:0r130c/cc/cr460c/cc:9dQh,9hJc|/2c4hKs/8h/3d:690,-690(295.704298)
97:Player,BR:0cr200c/cc/r150c/cc:4h6h,5sJc|/3d4d5c/3c/Js:-450,450(-397.083324)
98:BR,Player:0r130c/cc/cc/cc:7s9c,9sKd|/2sTdQc/3c/Qd:-230,230(-230.000000)
99:Player,BR:0cc/cc/cc/cc:3h9d,6sKs|/4sTdAh/3c/2h:100,-100(46.238310)
100:BR,Player:0cc/cc/cr200f:5cTd,7sJs|/9dJhQs/Jd:-100,100(-100.000000)
101:Player,BR:0cr300c/cc/cc/cc:5hQd,TsQh|/6hKsAc/6d/3h:0,-0(141.357624)
102:BR,Player:0r130c/cc/cc/cc:7sQc,8hKh|/4h4c9c/Ad/Ac:-230,230(-82.738924)
103:Player,BR:0cr300f:KhAd,2s8c|:100,-100(100.000000)
104:BR,Player:0r130c/cr299c/cr1587c/cc:QsQd,4hQh|/3h6h9d/7d/5d:-2116,2116(-2116.000000)
105:Player,BR:0cc/cc/cc/cc:3sAc,2sQd|/6s7h7d/Tc/Jh:100,-100(64.300281)
106:BR,Player:0f:8dQs,2dTs|:50,-50(50.000000)
107:Player,BR:0cr1200c/cc/r260c/r3120c:JcKd,2dAc|/2cAsAh/4c/Ks:-4680,4680(-4680.000000)
108:BR,Player:0r130c/cc/cc/cr460f:8cAs,6s8d|/5s5dKd/7c/9d:-230,230(-230.000000)
109:Player,BR:0cr300f:QcAd,3d8s|:100,-100(100.000000)
110:BR,Player:0r200c/cc/cc/cr600f:5dAc,8cAd|/7h8dJs/Jc/5h:-300,300(-300.000000)
111:Player,BR:0cr200c/cc/r150c/r225c:QdKd,3s9s|/3h4cKh/3c/8s:-675,675(-548.565285)
112:BR,Player:0r130c/cc/cc/cr299f:3dTs,6c8s|/5h8dJs/9d/2c:-230,230(-230.000000)
113:Player,BR:0cr600c/cc/r1400c/r6300f:2d6d,ThJh|/3d7d8h/8s/Kd:2100,-2100(2100.000000)
114:BR,Player:0r130c/cr299c/cc/cc:6hAc,3sKh|/5h6d8d/8h/Td:529,-529(263.718548)
115:Player,BR:0cr200c/cc/r390c/cc:7s7c,6sKc|/2s3cTs/6c/Kh:-690,690(-682.164995)
116:BR,Player:0r130c/cc/cr299f:2d8h,ThJd|/3h3cTd/6d:-230,230(-230.000000)
117:Player,BR:0cc/cc/cc/cc:4dTc,3d6h|/JsJhJd/Th/Ts:0,-0(1.699462)
118:BR,Player:0r200c/cc/cc/cc:4cKc,9sAd|/5sQdKh/3c/5d:300,-300(300.000000)
119:Player,BR:0cc/cc/r300f:8sTd,2c5d|/7hAdAc/6s:100,-100(100.000000)
120:BR,Player:0cc/cc/cr130c/cc:TdQh,2dKs|/5c7hTc/4s/Ts:230,-230(230.000000)
121:Player,BR:0cr300c/cc/r200c/r300f:9sAd,JhAh|/4h5h6s/9c/3d:600,-600(600.000000)
122:BR,Player:0r130c/cc/cr299c/cc:9s9h,5dAc|/3dQsQd/3s/2s:529,-529(529.000000)
123:Player,BR:0cr130c/cc/r115f:7s7d,9cTc|/3s5dKd/6s:230,-230(230.000000)
124:BR,Player:0r130c/cr299c/cc/cr687f:JhKc,TdQs|/4c5s5d/8h/Qc:-529,529(-529.000000)
125:Player,BR:0cr300c/cc/cc/r200f:8cJh,2dQs|/7c8d9c/Ah/As:400,-400(400.000000)
126:BR,Player:0r130c/cc/cr299c/cc:7hQs,9sJc|/5c6sKc/6h/6d:529,-529(-134.564995)
127:Player,BR:0cc/cc/cc/cc:5cAh,2s9h|/4h6cQc/Ks/Ts:100,-100(70.220761)
128:BR,Player:0f:5c7c,2sJc|:50,-50(50.000000)
129:Player,BR:0cr300c/r520f:QhQd,7c9c|/4h6dQs:400,-400(400.000000)
130:BR,Player:0r130c/cr299c/cc/cc:9dQd,3s6s|/2dTdTc/Qs/Qh:529,-529(529.000000)
131:Player,BR:0cc/cc/r200c/cc:7c8s,8dJd|/5h6cAd/Js/3s:-300,300(-267.668738)
132:BR,Player:0r130c/cr299c/cr687f:2s9s,6d8h|/7s9dQh/4c:-529,529(-529.000000)
133:Player,BR:0cr300f:3h4h,4c7h|:100,-100(100.000000)
134:BR,Player:0r130c/cc/cc/cc:8dKc,QhAc|/5s8sTs/9d/5h:230,-230(205.296599)
135:Player,BR:0cc/cc/cc/cc:4cQs,2dKs|/8d9cAs/2s/Ad:-100,100(-51.034175)
136:BR,Player:0r200c/cc/cc/cc:3s9d,QsAs|/5sJhJd/8h/2s:-300,300(-300.000000)
137:Player,BR:0cc/cc/r130f:6cTd,2s7d|/3c8sQd/4c:100,-100(100.000000)
138:BR,Player:0r130c/cc/cc/cc:4sTh,7h8h|/8cTsQs/Kc/2c:230,-230(198.741647)
139:Player,BR:0cc/cc/cc/cc:9hTc,3d5d|/3cJhQh/Js/8s:100,-100(-48.722146)
140:BR,Player:0cc/cc/cc/cc:5d7c,TdAs|/2h4h7s/Qd/Js:100,-100(100.000000)
141:Player,BR:0cc/cc/cc/r130f:4cTd,KcAc|/3c6sJh/9d/8s:100,-100(100.000000)
142:BR,Player:0f:2h3c,3d8s|:50,-50(50.000000)
143:Player,BR:0cc/cc/cc/cc:2hAd,2d3s|/4d7h9c/9h/Th:100,-100(97.472105)
144:BR,Player:0r130c/cc/cr299f:3dJs,2sTs|/6c8hAs/9h:-230,230(-230.000000)
145:Player,BR:0cr300c/r520c/cc/cc:3s3h,6hKd|/2s2dJc/9d/6s:-920,920(-642.685126)
146:BR,Player:0r130c/cc/cc/cc:3cJd,ThAd|/7sQdKh/2s/9s:-230,230(-230.000000)
147:Player,BR:0cr200c/r390c/cc/cc:7cTc,8h9h|/3d8sJd/As/Js:-690,690(-526.417798)
148:BR,Player:0r130c/cr299c/cr687c/cr1580f:7cQd,2s9s|/4h8h8d/5d/Kd:-1216,1216(-1216.000000)
149:Player,BR:0cr300f:9cAd,2d8d|:100,-100(100.000000)
150:BR,Player:0r130c/cc/cc/cc:9d9c,8hQc|/8dTcAh/4s/Jc:230,-230(228.983180)
151:Player,BR:0cc/cc/cc/cc:7sQh,5h7c|/5d5c9s/Td/6c:-100,100(-96.763969)
152:BR,Player:0f:3c6h,2h4c|:50,-50(50.000000)
153:Player,BR:0cc/cc/cc/cc:6hAs,3s7c|/3c9dKs/4s/4h:-100,100(-41.634352)
154:BR,Player:0r130c/cr460f:2h6c,9sAh|/4s9cAs:-230,230(-230.000000)
155:Player,BR:0cc/cc/r200f:3sTh,3h4h|/6d9dQc/8c:100,-100(100.000000)
156:BR,Player:0r130c/cr299c/cr1058f:2cKc,6dJd|/6cJcAd/5d:-529,529(-529.000000)
