In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 13.
54:Player,BR:0cc/cr124f:4cKh,7d8c|/2h8dJc:-100,100(-100.000000)
55:BR,Player:0r130c/r2014f:4sJh,7sAc|/5h8dQh:230,-230(230.000000)
56:Player,BR:0cc/cr379f:3h8c,2dQc|/6dTdQs:-100,100(-100.000000)
57:BR,Player:0cc/r876f:6d8h,9cJd|/4hJhKc:100,-100(100.000000)
58:Player,BR:0cc/cr1761f:6h9c,8cKs|/9hTcAh:-100,100(-100.000000)
59:BR,Player:0r130c/r1001f:2d5c,6c7d|/JcQcAd:230,-230(230.000000)
60:Player,BR:0cr200c/cr1136f:9sQs,8sAs|/2c3h8d:-300,300(-300.000000)
61:BR,Player:0cc/r435f:9sJd,3cQh|/6h8cAs:100,-100(100.000000)
62:Player,BR:0cr200c/cr1306f:TcKd,2dJd|/3h4s5h:-300,300(-300.000000)
63:BR,Player:0r130c/r1001f:5cKh,3d8d|/6h7hJd:230,-230(230.000000)
64:Player,BR:0cc/cr1532f:3sJc,TsAd|/6c7cAs:-100,100(-100.000000)
65:BR,Player:0r200c/r1306f:3hQd,4c5s|/7d9dAd:300,-300(300.000000)
66:Player,BR:0cr200c/cr649c/r131c/cc:QsKh,QhAs|/2d4h4c/7c/8c:-1080,1080(-12.696565)
67:BR,Player:0r130c/r2014f:8hTs,QhAc|/7dQcKc:230,-230(230.000000)
68:Player,BR:0cc/cr19900f:2c5s,7h9h|/3h7s9d:-100,100(-100.000000)
69:BR,Player:0r130c/r2014f:6c8c,8dKc|/7sKsAc:230,-230(230.000000)
70:Player,BR:0cc/cr876f:7d9s,8c9d|/3h5sAs:-100,100(-100.000000)
71:BR,Player:0r130c/r2014c/cr1344f:3sAs,8hTh|/2s7c8c/5c:-2244,2244(-2244.000000)
72:Player,BR:0cc/cr1761f:5s8s,7hJs|/6dKcAd:-100,100(-100.000000)
73:BR,Player:0r130c/r1001f:JcQd,7dKd|/2s6hTs:230,-230(230.000000)
74:Player,BR:0cc/cr124c/cc/cc:JdKh,2s7c|/3s7s8d/6c/3c:-224,224(-146.328159)
75:BR,Player:0r130c/r2014f:9hQc,6c7d|/7cKsAc:230,-230(230.000000)
76:Player,BR:0cr300c/r520r8056f:8cTc,2s9s|/2c6dQs:-920,920(-920.000000)
77:BR,Player:0r130c/r1001f:7hAh,6cAc|/4dThKd:230,-230(230.000000)
78:Player,BR:0cc/cr876f:8cAd,6dAh|/9sQcKd:-100,100(-100.000000)
79:BR,Player:0f:3cTh,2h7c|:50,-50(50.000000)
80:Player,BR:0cc/cr876f:3c8h,5hKh|/7d9dJd:-100,100(-100.000000)
81:BR,Player:0r200c/r1306f:2h2d,2cKs|/6s7dJs:300,-300(300.000000)
82:Player,BR:0cr130c/cr2014f:7d7c,7hQh|/6d8s9h:-230,230(-230.000000)
83:BR,Player:0r130c/r1001f:2cTh,7d8d|/2s3d6h:230,-230(230.000000)
84:Player,BR:0cc/cr435c/r1075f:3hKh,2h2c|/3s6d8h/5s:535,-535(535.000000)
85:BR,Player:0r200c/r1306f:6hJs,5hJd|/4d7sTc:300,-300(300.000000)
86:Player,BR:0cr300c/r520r520f:9sQs,9dAs|/4h5hJh:-920,920(-920.000000)
87:BR,Player:0r130c/r2014f:4sQh,4hJs|/9hJcAd:230,-230(230.000000)
88:Player,BR:0cc/cr216r584r7881f:2d7s,5cQd|/2s5s8d:-900,900(-900.000000)
89:BR,Player:0f:2hJs,2c9s|:50,-50(50.000000)
90:Player,BR:0cr600c/cr3047f:8sJh,4s5s|/ThQhQd:-700,700(-700.000000)
91:BR,Player:0r130c/r871f:7dJs,KdAc|/4s5dJc:230,-230(230.000000)
92:Player,BR:0cr200c/cr1306r6794f:9sAs,4dKd|/3d9dAh:1606,-1606(1606.000000)
93:BR,Player:0r200c/r1306c/cr1544c/cr1575c:8sJc,7dAs|/2d4cAh/Ad/Qs:-4725,4725(-1134.453493)
94:Player,BR:0cc/cr3080f:2s6d,3d6h|/7h9sKd:-100,100(-100.000000)
95:BR,Player:0r130c/r1001f:6h9d,4hAh|/9cTcQs:230,-230(230.000000)
96:Player,BR:0cc/cr876c/cc/r974c:TdKh,3h6d|/4d6sTc/Qh/As:1950,-1950(591.805517)
97:BR,Player:0f:8dTh,3d7s|:50,-50(50.000000)
98:Player,BR:0cc/cr379f:4d8h,9sQc|/2hTcQh:-100,100(-100.000000)
99:BR,Player:0f:5sTs,2s6h|:50,-50(50.000000)
100:Player,BR:0cc/cr876f:3d8c,2cAs|/4s8hTh:-100,100(-100.000000)
101:BR,Player:0r200c/r2627c/cr2923f:4hKd,2h3h|/2s9cJh/Ac:-2927,2927(-2927.000000)
102:Player,BR:0cr200c/r390r982f:9sJc,5sAd|/6h8d8c:-690,690(-690.000000)
103:BR,Player:0r130c/r1001c/cr1184f:5dQc,9hQd|/7d8hTs/9s:-1231,1231(-1231.000000)
104:Player,BR:0cc/cr435c/cc/r305f:4s9s,2c6h|/5sKsAd/Jh/4c:535,-535(535.000000)
