In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
54:Player,BR:0cr200c/r390r3004f:KhAc,5hKc|/2h3c8s:-690,690(-690.000000)
55:BR,Player:0r130c/r1001f:3c6d,6c9c|/7cJsAd:230,-230(230.000000)
56:Player,BR:0cc/cr379f:3h4s,TdKc|/6c7dTh:-100,100(-100.000000)
57:BR,Player:0r200c/r2627f:4cQc,TsTh|/3cJhAc:300,-300(300.000000)
58:Player,BR:0cc/cr249r851r1708f:8cJd,4d7h|/6cAsAh:-1200,1200(-1200.000000)
59:BR,Player:0cc/r8194f:3d3c,3hJs|/3s7h9s:100,-100(100.000000)
60:Player,BR:0cc/cr124c/cc/r100c:4c8s,3sTh|/8cTdAc/3d/5d:-324,324(-287.169100)
61:BR,Player:0cc/r3080f:2h3s,3cQd|/4d9dKs:100,-100(100.000000)
62:Player,BR:0cc/cr379c/cc/cc:3sAd,4hQd|/3cJdQc/2s/5s:-479,479(-246.154610)
63:BR,Player:0r130c/r2014f:3h5d,3dKs|/8cQhAs:230,-230(230.000000)
64:Player,BR:0cc/cr435f:2dTs,7s9d|/4cQdAc:-100,100(-100.000000)
65:BR,Player:0r130c/r327c/cc/cc:9dKc,KdAh|/4sQsQc/6d/Jh:-557,557(-549.122121)
66:Player,BR:0cr130c/r299c/cc/cc:9sTs,6sKs|/4h8dAh/3s/3d:-529,529(-423.579659)
67:BR,Player:0r200c/r1306f:7hQs,7dKs|/2d6cTh:300,-300(300.000000)
68:Player,BR:0cc/cr435f:5dKc,3h4h|/4s6d7s:-100,100(-100.000000)
69:BR,Player:0r130c/r1001f:8dKc,3dAs|/QsKsAh:230,-230(230.000000)
