In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 45.
58:Player,BR:0cr130c/cc/cc/cc:TdKs,8cJh|/4d7dAs/9h/7c:230,-230(230.000000)
59:BR,Player:0r130c/cc/cr299c/cc:7cQc,4d8c|/3dTsTh/6d/Kd:529,-529(351.841868)
60:Player,BR:0cr300c/cc/r200c/r300f:JhAs,5cQc|/3d4cKs/8h/Ac:600,-600(600.000000)
61:BR,Player:0r130c/cc/cc/cc:9cJh,8sQs|/5cTsKc/4s/4c:-230,230(-230.000000)
62:Player,BR:0cr300c/cc/cc/r520f:7cAh,3sTd|/3d5s5d/4h/Ad:400,-400(400.000000)
63:BR,Player:0r130c/cr299c/cr687f:7hQc,4h5c|/7c8hKh/6s:-529,529(-529.000000)
64:Player,BR:0cc/cc/cc/cc:5dQh,2cAh|/3h8hKs/3d/7s:-100,100(-21.739802)
65:BR,Player:0r130c/cr299f:6d7d,TdAc|/QhKsKd:-230,230(-230.000000)
66:Player,BR:0cc/cc/r130c/cc:5hQd,2h4s|/4h7c8s/Ks/9d:-230,230(33.179767)
67:BR,Player:0cc/cc/cc/cr130c:TsAc,3c7c|/4c6hTh/Js/8c:230,-230(-21.050068)
68:Player,BR:0cc/cc/cc/cc:6sJd,JsAc|/8hKsAs/Qd/3s:-100,100(-90.726210)
69:BR,Player:0r130c/cr460c/cc/cr897f:5cKd,3s3d|/7h9sQs/8h/Ah:-690,690(-690.000000)
70:Player,BR:0cc/cc/r200c/r390c:5hTh,5dAs|/4c6s6d/2h/3s:0,-0(-189.489438)
71:BR,Player:0r130c/cc/cc/cr460f:2dAs,QhKd|/3s3h8s/Td/Qs:-230,230(-230.000000)
72:Player,BR:0cr200c/r390c/cc/cc:4s5s,8c9c|/8hJsQh/6h/Kh:-690,690(30.981663)
73:BR,Player:0f:7s7c,3hTs|:50,-50(50.000000)
74:Player,BR:0cr200c/cc/cc/r390c:2sJd,QdKh|/3h4dKs/7d/Js:-690,690(-648.464345)
75:BR,Player:0cc/cr300c/cc/cc:TcKc,4cJd|/3d5s7h/7d/Qd:400,-400(176.174488)
76:Player,BR:0cc/cc/cc/cc:4hAs,9cQd|/3s6c9s/Th/8c:-100,100(-58.891546)
77:BR,Player:0r130c/cr299c/cc/cr1058f:4dTs,QsKs|/6dQhQc/3s/3c:-529,529(-529.000000)
78:Player,BR:0cc/r130c/r115c/r448c:3s7d,4c7c|/2c5s6d/8s/Ks:-793,793(-647.141085)
79:BR,Player:0r130c/cc/cr115c/cc:8sAd,5sTc|/3c5h9c/Ac/4d:345,-345(293.855388)
