In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 46.
54:Player,BR:0cr300c/cc/r200c/cc:KhAc,5hKc|/2h3c8s/Tc/9c:600,-600(584.018582)
55:BR,Player:0r130c/cr460f:3c6d,6c9c|/7cJsAd:-230,230(-230.000000)
56:Player,BR:0cc/cc/r200c/r600c:3h4s,TdKc|/6c7dTh/9d/Qc:-900,900(-751.900277)
57:BR,Player:0r200c/cc/cc/cr150c:4cQc,TsTh|/3cJhAc/2c/Ad:450,-450(450.000000)
58:Player,BR:0cc/cc/cc/cc:8cJd,4d7h|/6cAsAh/2c/3h:100,-100(98.309377)
59:BR,Player:0r130c/cc/cr299c/cc:3d3c,3hJs|/3s7h9s/Ts/9h:529,-529(529.000000)
60:Player,BR:0cc/cc/cc/r130c:4c8s,3sTh|/8cTdAc/3d/5d:-230,230(-207.619520)
61:BR,Player:0r130c/cr690f:2h3s,3cQd|/4d9dKs:-230,230(-230.000000)
62:Player,BR:0cc/cc/r130c/cc:3sAd,4hQd|/3cJdQc/2s/5s:-230,230(-202.193087)
63:BR,Player:0r130c/cc/cc/cc:3h5d,3dKs|/8cQhAs/2d/7d:-230,230(-230.000000)
64:Player,BR:0cc/cc/cc/cc:2dTs,7s9d|/4cQdAc/6c/2s:100,-100(91.907075)
65:BR,Player:0r200c/cc/cr150c/cc:9dKc,KdAh|/4sQsQc/6d/Jh:-450,450(-314.204563)
66:Player,BR:0cr300c/cc/r520c/cc:9sTs,6sKs|/4h8dAh/3s/3d:-920,920(-233.823682)
67:BR,Player:0r200c/cr600f:7hQs,7dKs|/2d6cTh:-300,300(-300.000000)
68:Player,BR:0cc/cc/r200c/r600c:5dKc,3h4h|/4s6d7s/Ks/5s:-900,900(-710.828776)
