In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 13.
1:BR,Player:0f:7sTs,2cTd|:50,-50(50.000000)
53:BR,Player:0r130c/cr690f:2c9h,JhQh|/5c8sTh:-230,230(-230.000000)
54:Player,BR:0cc/cc/cc/cc:4cKh,7d8c|/2h8dJc/Kc/Ad:100,-100(-55.744004)
55:BR,Player:0r130c/cc/cc/cr690f:4sJh,7sAc|/5h8dQh/9c/Ah:-230,230(-230.000000)
56:Player,BR:0cc/cc/cc/cc:3h8c,2dQc|/6dTdQs/4h/Js:-100,100(-84.324071)
57:BR,Player:0r200c/cc/cr390f:6d8h,9cJd|/4hJhKc/3c:-300,300(-300.000000)
58:Player,BR:0cc/cc/cc/cc:6h9c,8cKs|/9hTcAh/Qs/7d:100,-100(20.898996)
59:BR,Player:0r130c/cr299f:2d5c,6c7d|/JcQcAd:-230,230(-230.000000)
60:Player,BR:0cr200c/cc/r900f:9sQs,8sAs|/2c3h8d/Jh:300,-300(300.000000)
61:BR,Player:0r200c/cc/cc/cc:9sJd,3cQh|/6h8cAs/8s/8d:-300,300(-286.702648)
62:Player,BR:0cc/cc/r130f:TcKd,2dJd|/3h4s5h/7d:100,-100(100.000000)
63:BR,Player:0r130c/cr299c/cc/cc:5cKh,3d8d|/6h7hJd/Kc/9s:529,-529(529.000000)
64:Player,BR:0cc/cc/cc/cc:3sJc,TsAd|/6c7cAs/4h/4s:-100,100(-90.712247)
65:BR,Player:0r130c/cc/cc/cr460c:3hQd,4c5s|/7d9dAd/6d/Jd:690,-690(690.000000)
66:Player,BR:0cr600c/cc/cc/cc:QsKh,QhAs|/2d4h4c/7c/8c:-700,700(-568.486438)
67:BR,Player:0r130c/cc/cr460f:8hTs,QhAc|/7dQcKc/7s:-230,230(-230.000000)
68:Player,BR:0cr200c/cc/r900c/r1560c:2c5s,7h9h|/3h7s9d/Ac/Qc:-2760,2760(-2324.025207)
69:BR,Player:0r130c/cc/cc/cr299f:6c8c,8dKc|/7sKsAc/2c/7d:-230,230(-230.000000)
70:Player,BR:0cc/cc/r130f:7d9s,8c9d|/3h5sAs/2h:100,-100(100.000000)
71:BR,Player:0r200c/cr390c/cr897f:3sAs,8hTh|/2s7c8c/5c:-690,690(-690.000000)
72:Player,BR:0cr200c/cc/cc/cc:5s8s,7hJs|/6dKcAd/5c/Tc:300,-300(300.000000)
73:BR,Player:0r130c/cc/cr115c/cc:JcQd,7dKd|/2s6hTs/5d/6c:-345,345(-345.000000)
74:Player,BR:0cc/cc/cc/cc:JdKh,2s7c|/3s7s8d/6c/3c:-100,100(-65.415105)
75:BR,Player:0cc/cr130c/cc/cr299c:9hQc,6c7d|/7cKsAc/4d/2s:-529,529(238.057806)
76:Player,BR:0cr300c/r520c/cc/cc:8cTc,2s9s|/2c6dQs/3s/Js:-920,920(-884.932254)
77:BR,Player:0r130c/cc/cr115c/cc:7hAh,6cAc|/4dThKd/6h/Td:-345,345(-17.444485)
78:Player,BR:0cc/cc/cc/cc:8cAd,6dAh|/9sQcKd/6c/8h:100,-100(-39.437781)
79:BR,Player:0f:3cTh,2h7c|:50,-50(50.000000)
80:Player,BR:0cc/cc/r130c/cc:3c8h,5hKh|/7d9dJd/9s/8d:230,-230(230.000000)
81:BR,Player:0cc/cc/cc/cr300f:2h2d,2cKs|/6s7dJs/Ad/Kh:-100,100(-100.000000)
82:Player,BR:0cr300c/cc/r200c/cc:7d7c,7hQh|/6d8s9h/Ac/Qd:-600,600(-327.169424)
83:BR,Player:0r130c/cc/cr299c/cr1058c:2cTh,7d8d|/2s3d6h/Qh/Kc:1587,-1587(64.374803)
84:Player,BR:0cc/cc/cc/cc:3hKh,2h2c|/3s6d8h/5s/Qs:100,-100(28.851960)
85:BR,Player:0r200c/cc/cr600c/cr1170c:6hJs,5hJd|/4d7sTc/4c/Jc:0,-0(-0.000000)
86:Player,BR:0cr300c/r520c/r460c/r276c:9sQs,9dAs|/4h5hJh/9c/7d:-1656,1656(-1525.757853)
87:BR,Player:0r130c/cc/cr299f:4sQh,4hJs|/9hJcAd/5c:-230,230(-230.000000)
88:Player,BR:0cc/cc/cc/cc:2d7s,5cQd|/2s5s8d/Qh/Ts:-100,100(-93.682986)
89:BR,Player:0f:2hJs,2c9s|:50,-50(50.000000)
90:Player,BR:0cr300c/cc/r200f:8sJh,4s5s|/ThQhQd/7c:400,-400(400.000000)
91:BR,Player:0r200c/cc/cc/cc:7dJs,KdAc|/4s5dJc/6d/5h:300,-300(300.000000)
92:Player,BR:0cr200c/r390c/r2070c/r3588f:9sAs,4dKd|/3d9dAh/Qs/4c:2760,-2760(2760.000000)
93:BR,Player:0r130c/cc/cr299c/cr1587f:8sJc,7dAs|/2d4cAh/Ad/Qs:-529,529(-529.000000)
94:Player,BR:0cc/cc/cc/cc:2s6d,3d6h|/7h9sKd/4s/3c:-100,100(-32.146763)
95:BR,Player:0r130c/cc/cr115c/cc:6h9d,4hAh|/9cTcQs/Kc/Kh:345,-345(53.948755)
