In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R3=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
42:Player,BR:0cc/cc/cr876f:6d8s,9sJs|/2c6sKs/Ad:-100,100(-100.000000)
43:BR,Player:0r130c/cc/r19770c/cc:KsKd,8cTs|/6s7cTh/2c/4h:20000,-20000(16116.026262)
44:Player,BR:0cr200c/r390c/cr6042f:8cJs,7hAs|/3s5cKc/6s:-690,690(-690.000000)
45:BR,Player:0f:JhJd,2h7c|:50,-50(50.000000)
46:Player,BR:0cr200c/cc/r600c/cr6853f:9dTs,JcAs|/5h8hAd/7h/Kd:-900,900(-900.000000)
47:BR,Player:0f:8cAh,2d5c|:50,-50(50.000000)
48:Player,BR:0cc/cc/cr876f:7hQc,5d8s|/9cJcAs/6c:-100,100(-100.000000)
49:BR,Player:0r130c/cc/r4051f:5h9h,3sJd|/7d8hQs/Kc:230,-230(230.000000)
50:Player,BR:0cc/cc/cr3080f:3cKs,8s9s|/2cThJs/6c:-100,100(-100.000000)
51:BR,Player:0r200c/cr390c/r6042f:8c9d,5sQh|/4s9sTc/Kh:690,-690(690.000000)
52:Player,BR:0cc/cc/cr435f:8sQh,4cQd|/4h8d9h/As:-100,100(-100.000000)
53:BR,Player:0r130c/cc/r285c/r18244f:4hAh,9dAs|/3d4s7h/3c/2c:515,-515(515.000000)
54:Player,BR:0cr300c/cc/cr246f:6cKc,5s6d|/5d9hTs/4d:-400,400(-400.000000)
55:BR,Player:0r130c/cr299c/r2303f:2h6c,7sQc|/4d9s9d/Jd:529,-529(529.000000)
56:Player,BR:0cc/cc/cr124r576r6091f:6cTc,4sJd|/QsQcAc/Js:-800,800(-800.000000)
57:BR,Player:0r200c/cc/r9241f:2c4d,6sAc|/7dTdKs/Kd:300,-300(300.000000)
58:Player,BR:0cr300c/cc/cr1514r2886f:TcQs,9cAs|/6s8cJh/9s:1914,-1914(1914.000000)
59:BR,Player:0r130c/cr299c/r162f:5hKc,4dKd|/3h6hTh/Ah:529,-529(529.000000)
60:Player,BR:0cc/cc/cr216f:TsJd,3dAh|/5h6cAd/6s:-100,100(-100.000000)
61:BR,Player:0r130c/cc/r4051f:9hAh,QsQh|/4c5s8d/6c:230,-230(230.000000)
62:Player,BR:0cc/cc/cr876f:5s9c,3dAc|/2c7hKs/4s:-100,100(-100.000000)
63:BR,Player:0r130c/cc/r19770f:QdAd,8s8h|/3d6d9d/Qh:230,-230(230.000000)
64:Player,BR:0cr200c/cc/cr1306f:7cAs,5dAh|/4dJhKc/9d:-300,300(-300.000000)
65:BR,Player:0r130c/cc/r285c/r3921c:4d7d,3cAs|/4h7cAc/Ad/Kc:-4436,4436(-2797.115010)
66:Player,BR:0cr300c/r520c/cr4005f:JsQs,6c8d|/2h4c9c/5c:-920,920(-920.000000)
67:BR,Player:0r130c/cc/r7085f:3cKc,6s6d|/3sJsQs/Tc:230,-230(230.000000)
68:Player,BR:0cc/cc/r130r130r330r1493c/r922c:3sAh,2hQd|/2s9d9c/5c/Jc:-3105,3105(-3040.985545)
69:BR,Player:0r200c/cr390c/r6042f:5sQh,3dKc|/2d2c7s/6d:690,-690(690.000000)
70:Player,BR:0cc/cc/cr8194f:3dKh,2s6h|/2h5c6c/6d:-100,100(-100.000000)
71:BR,Player:0r200c/cr600c/r275r2065r2065f:7hAc,4sTd|/JsKcAd/2s:3240,-3240(3240.000000)
72:Player,BR:0cc/cc/cc/cc:7h8d,2s4c|/2d6s7d/Qd/5d:100,-100(70.876673)
73:BR,Player:0r130c/cr299c/r374c/r5199f:6h9d,8dJd|/4d5hJc/5d/4c:903,-903(903.000000)
74:Player,BR:0cc/cc/r130r4051f:6sTc,6h6d|/4d7sJs/3h:-230,230(-230.000000)
75:BR,Player:0r200c/cr390c/r488f:5sJh,TsJs|/2d3h6c/6h:690,-690(690.000000)
76:Player,BR:0cr300c/r520c/r460r5224f:3cTc,3s5d|/2d4h6c/Jh:-1380,1380(-1380.000000)
