In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=C
In config file: ACTIONS_R1=C
In config file: ACTIONS_R2=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
In config file: ACTIONS_R3=F,C,0.05,0.0575,0.066125,0.07604375,0.087450313,0.100567859,0.115653038,0.133000994,0.152951143,0.175893815,0.202277887,0.23261957,0.267512505,0.307639381,0.353785288,0.406853081,0.467881044,0.5380632,0.61877268,0.711588582,0.81832687,0.9410759,1.082237285,1.244572878,1.43125881,1.645947631,1.892839776,2.176765742,2.503280603,2.878772694,3.310588598,3.807176888,4.378253421,5.034991434,5.790240149,6.658776171,7.657592597,8.806231486,10.12716621,11.64624114,13.39317731,15.40215391,17.71247699,20.36934854,23.42475083,26.93846345,30.97923297,35.62611791,40.9700356,47.11554094,54.18287208,62.31030289,71.65684832,82.40537557,94.76618191,A
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 5.
1:BR,Player:0f:3h6c,3dTh|:50,-50(50.000000)
42:Player,BR:0cc/cc/cr9423f:ThKd,2h7c|/9dQcAc/6s:-100,100(-100.000000)
43:BR,Player:0cc/cc/r379c/r11157f:QcAc,2dJs|/9cJdAs/Ts/7s:479,-479(479.000000)
44:Player,BR:0cc/r130c/r115r115f:7s8c,KcAc|/5s5cTs/Ks:-345,345(-345.000000)
45:BR,Player:0r200c/cc/r19700f:QdAh,6cTh|/3dAsAc/8h:300,-300(300.000000)
46:Player,BR:0cc/cc/cr876f:5cKs,7d8h|/TcQcAh/Ac:-100,100(-100.000000)
47:BR,Player:0r200c/cc/r8036f:3s4c,9cKh|/2d2c3c/7h:300,-300(300.000000)
48:Player,BR:0cr200c/cc/cr371f:6dKc,5cKs|/2c7hQc/5d:-300,300(-300.000000)
49:BR,Player:0r200c/cc/r14055c/r1651c:4sJs,8dKc|/2d8cQd/Jh/2h:16006,-16006(15749.862101)
50:Player,BR:0cc/cc/cr876f:7dQs,8sQc|/9h9dJh/5h:-100,100(-100.000000)
51:BR,Player:0r200c/cr390c/r6042f:3s9c,6h7d|/2s4sKc/Td:690,-690(690.000000)
52:Player,BR:0cr300c/r800c/cr120f:6cJc,4c5c|/3d8c9h/Ks:-1200,1200(-1200.000000)
53:BR,Player:0r200c/cc/r2627f:5d8s,9sTs|/4hTdAc/8c:300,-300(300.000000)
54:Player,BR:0cr300c/r520c/cr4005f:7d8d,3sTd|/4dJsAh/Jh:-920,920(-920.000000)
55:BR,Player:0r200c/cc/r1136c/r14460f:5cTd,KhKd|/JcQdAd/Ks/8c:1436,-1436(1436.000000)
56:Player,BR:0cc/cc/cr3080f:6sQh,4s8c|/3cJcQc/Js:-100,100(-100.000000)
57:BR,Player:0cc/cr130c/r2014f:2d7h,2c5c|/4c7sTs/8c:230,-230(230.000000)
58:Player,BR:0cc/cc/cr249c/cr3514f:6dAh,TdJh|/5h9s9h/7c/5c:-349,349(-349.000000)
59:BR,Player:0cc/cr130c/r100c/r540r2235f:2c3d,6s7c|/4h6c7s/Js/7d:-870,870(-870.000000)
60:Player,BR:0cr600c/cc/r350r3975f:ThAs,3c4h|/4d4cKs/Qc:-1050,1050(-1050.000000)
61:BR,Player:0r200c/cc/r4595c/r8011c:5d7c,KcAd|/6s8s9c/Ah/3d:12906,-12906(12906.000000)
62:Player,BR:0cc/r130c/r460f:3cTh,4c6d|/3s3dJh/Qh:230,-230(230.000000)
63:BR,Player:0r130c/cc/r871f:6cAc,6sKc|/2sQsAh/7c:230,-230(230.000000)
64:Player,BR:0cc/cc/r200r1136c/r100r1901c:2sAh,3dKc|/3h5h5c/3c/Kd:-3437,3437(-3437.000000)
65:BR,Player:0cc/cc/r124c/r1483c:7s9h,7hJc|/5c6h7c/6s/2s:-1707,1707(663.193100)
66:Player,BR:0cr300c/cc/cr1741c/cr2650f:5hQh,2s4s|/8dJhQs/Ah/Ks:-2141,2141(-2141.000000)
67:BR,Player:0r130c/cc/r327c/r1206f:4sKs,5hAc|/3cJsJh/Jc/2h:557,-557(557.000000)
68:Player,BR:0cr600c/cc/r140r3657f:6d6c,5cAc|/3h5h8d/7h:-840,840(-840.000000)
69:BR,Player:0r200c/cc/r1306f:8hTd,7dTh|/4s6h9h/6d:300,-300(300.000000)
70:Player,BR:0cr300c/cc/r200r854f:4sAs,3cTd|/2hKhAh/Js:-600,600(-600.000000)
71:BR,Player:0r130c/cc/r6161f:9cTc,6cQc|/6h7s9h/2s:230,-230(230.000000)
72:Player,BR:0cr300c/cc/cr3503f:5hQh,JcAd|/3c5s9s/2c:-400,400(-400.000000)
73:BR,Player:0cc/cc/r9423f:9hQd,JcQh|/2c8cKs/3c:100,-100(100.000000)
74:Player,BR:0cc/cc/cr19900f:2hJs,ThTc|/3c4dTs/8h:-100,100(-100.000000)
75:BR,Player:0r200c/cr600c/r317f:9cTc,2sQc|/3s4hTd/7h:900,-900(900.000000)
76:Player,BR:0cc/cc/cr142r958c/cr1485f:6hTd,6cAs|/5s8h8d/4d/9c:-1200,1200(-1200.000000)
77:BR,Player:0f:4d5d,3h9d|:50,-50(50.000000)
78:Player,BR:0cr200c/cc/r390r6042f:9sKc,3dTc|/7c8d9d/4s:-690,690(-690.000000)
79:BR,Player:0r130c/cr299c/r186f:5h6c,4cQd|/9hThKh/9c:529,-529(529.000000)
80:Player,BR:0cc/cc/cr9423f:3sQd,8cQs|/6hThAd/Js:-100,100(-100.000000)
81:BR,Player:0r130c/cc/r12392f:5cJc,6h8h|/5h6sTc/5s:230,-230(230.000000)
82:Player,BR:0cr300c/cc/cr7045f:3s8s,2sQd|/2d5cTd/Ks:-400,400(-400.000000)
83:BR,Player:0f:4h8d,3c9d|:50,-50(50.000000)
84:Player,BR:0cc/cc/r130r14250f:3dQh,5sAd|/6cTcQd/5h:-230,230(-230.000000)
85:BR,Player:0r130c/cc/r6161f:8dTh,3sKd|/6h8cAc/Ts:230,-230(230.000000)
86:Player,BR:0cr200c/cc/cr1306f:7cKs,3d7d|/6c8dJh/As:-300,300(-300.000000)
87:BR,Player:0r130c/cr299c/r4632f:4c7c,2d3d|/3h9cTd/Ah:529,-529(529.000000)
88:Player,BR:0cr300c/cc/r800r1708c/cr3599f:8cTc,2cQc|/3c7s7d/9c/Ad:-2908,2908(-2908.000000)
89:BR,Player:0r130c/cc/r7085f:4h9s,TsAh|/3d8hKc/Qh:230,-230(230.000000)
90:Player,BR:0cr600c/cc/cr100r1132r8411f:JdQs,3d4d|/2c4cTc/Ks:-1932,1932(-1932.000000)
91:BR,Player:0r200c/cr390c/r425f:9hTd,TcJc|/6d6cAh/9d:690,-690(690.000000)
92:Player,BR:0cc/cc/cr142f:3hJd,8dTc|/4h7cKs/Qs:-100,100(-100.000000)
93:BR,Player:0r130c/cc/r14250f:8c9d,4cAs|/2h4sAh/Qh:230,-230(230.000000)
94:Player,BR:0cc/cc/cr876f:8cQd,3hTs|/3d6sAd/Jh:-100,100(-100.000000)
95:BR,Player:0r200c/cr390c/r982f:5c9d,9sKd|/6d7hTs/2d:690,-690(690.000000)
96:Player,BR:0cc/cc/cr761r761r7061f:8cKh,7dJc|/5h7hJs/6s:-1622,1622(-1622.000000)
97:BR,Player:0r130c/cr460c/r3004f:5sJd,5cKh|/2d6h7s/8d:690,-690(690.000000)
98:Player,BR:0cc/r600c/r2100f:8sKh,TdJc|/2d8cKs/7h:700,-700(700.000000)
99:BR,Player:0r130c/cc/r100c/r15460f:6c7s,4cAd|/6dJdAh/3d/8c:330,-330(330.000000)
100:Player,BR:0cc/cc/cr876f:5dJd,2h6s|/6c7s8c/5s:-100,100(-100.000000)
101:BR,Player:0r130c/cc/r7085f:6hJd,9sKc|/2c8sAd/Ts:230,-230(230.000000)
102:Player,BR:0cc/cc/r130c/r115r244r1481r15762f:5h6s,7d9c|/4c8hJs/7c/Ac:-2070,2070(-2070.000000)
103:BR,Player:0f:3sQd,3dTh|:50,-50(50.000000)
104:Player,BR:0cc/cc/r130r12392f:4h9s,4c5d|/3d6dAh/7c:-230,230(-230.000000)
105:BR,Player:0r130c/cc/r7085r12685f:QhKc,5h5c|/3h9sAc/5d:-7315,7315(-7315.000000)
106:Player,BR:0cc/cc/cr124c/cr1483f:2hQs,3hKh|/3d8sJh/2s/Ks:-224,224(-224.000000)
107:BR,Player:0r130c/cr299c/cc/r2303c:4s7h,5sQc|/4h5hKc/9c/Qd:-2832,2832(-2832.000000)
108:Player,BR:0cr300c/r520c/r1196f:2dQd,7hKc|/3c5cJd/Ah:920,-920(920.000000)
109:BR,Player:0r130c/cc/r1001c/r8151f:2cKc,5d9c|/9dJdAh/9s/Td:1231,-1231(1231.000000)
110:Player,BR:0cc/cc/r200r200f:4h8s,6d9s|/3cTdKd/3h:-300,300(-300.000000)
111:BR,Player:0f:9hAs,3c7s|:50,-50(50.000000)
112:Player,BR:0cr600c/cc/r140r6396f:3sAs,6d7d|/4d7h9c/5d:-840,840(-840.000000)
113:BR,Player:0r130c/cc/r7085f:4c7s,8hQc|/5s5hJh/Qd:230,-230(230.000000)
114:Player,BR:0cc/cc/cr761f:4cKs,4s5d|/6h7c8c/2s:-100,100(-100.000000)
