In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
54:Player,BR:0cr200c/cc/r150c/cc:QcKh,2dAc|/3hTsQh/3s/8h:450,-450(73.254472)
55:BR,Player:0cc/cc/cr130c/cc:9sAc,4s9h|/4d5sKd/Kh/Kc:-230,230(-70.765524)
56:Player,BR:0cr200c/cc/cc/cc:7sAs,TsTh|/3d6sKh/5c/9s:-300,300(-206.493507)
57:BR,Player:0r130c/cc/cr115c/cr690f:7d9h,TsKs|/3cTdJc/Kc/3s:-345,345(-345.000000)
58:Player,BR:0cc/cc/cc/cc:4d7h,7sQc|/4cQhAc/2s/5c:-100,100(-64.778874)
59:BR,Player:0cc/cr130c/cc/cc:4dAs,9sJc|/9hTdJd/Ks/Kc:-230,230(32.488543)
60:Player,BR:0cr200c/cc/cc/r900f:7hTh,3h8c|/5d8sQs/5c/Kh:300,-300(300.000000)
61:BR,Player:0cc/cr130c/cr460c/cc:4dKd,TsKh|/2s6cKc/5s/Jd:-690,690(184.162832)
62:Player,BR:0cc/cc/r130f:6hJh,3c7s|/2d4h5h/9d:100,-100(100.000000)
63:BR,Player:0r200c/cc/cc/cc:5h8c,8hQs|/3s3cAh/6s/7c:-300,300(-300.000000)
64:Player,BR:0cr200c/cc/r600f:8sKc,2c9h|/6s7cTh/Td:300,-300(300.000000)
65:BR,Player:0r130c/cc/cc/cc:8hTs,5h5c|/JdKsAs/6h/8c:230,-230(91.580507)
66:Player,BR:0cc/cc/r130c/cc:3s9s,4cKc|/8cThAs/4s/Td:-230,230(-160.923341)
67:BR,Player:0r130c/cr460c/cr897f:4cAs,8c9d|/5c8h9c/Kd:-690,690(-690.000000)
68:Player,BR:0cr200c/r390c/cc/r345f:3cAc,2dKs|/2h6dQc/3s/6s:690,-690(690.000000)
69:BR,Player:0r130c/cc/cc/cc:TcQs,2d2c|/3h7dKc/Jh/Js:-230,230(-151.234568)
70:Player,BR:0cc/cc/r300c/r1200f:2c6h,4d7h|/3c4h8c/5c/5d:400,-400(400.000000)
71:BR,Player:0r130c/cc/cc/cr299c:3h8h,7cTh|/5cJcAc/Ah/8c:-529,529(22.155824)
72:Player,BR:0cc/cc/cc/cc:7dKc,3d5c|/4d9dTh/7h/8c:100,-100(93.201580)
73:BR,Player:0r130c/cc/cc/cr460c:4s4d,5c8c|/ThQdAs/Qh/Jh:690,-690(417.241453)
74:Player,BR:0cc/cc/r200c/r390c:3dAc,6cJh|/8cTcAd/7c/4h:690,-690(288.862382)
75:BR,Player:0cc/cc/cr130c/cr690f:7hQc,2dAs|/JsJhKh/Jd/Ad:-230,230(-230.000000)
76:Player,BR:0cr300c/cc/r520c/cc:8hTc,4sAh|/9d9cKc/Qh/7d:-920,920(-279.654040)
77:BR,Player:0r130c/cc/cc/cc:4d7d,TcAh|/5s9s9h/8c/Jd:-230,230(-230.000000)
78:Player,BR:0cc/cc/cc/cc:3dQd,9cAs|/7hJdJc/4h/Ac:-100,100(-91.751297)
79:BR,Player:0cc/cc/cc/cc:2c4h,5h8d|/5c6hJh/Kc/4d:-100,100(-20.030358)
80:Player,BR:0cc/cc/r300c/r520f:6cAh,2sTd|/3h4cAc/Th/Jd:400,-400(400.000000)
81:BR,Player:0r200c/cr390c/cr1380c/cc:9dKs,5cKh|/2c3s3h/9c/Ts:2070,-2070(-127.515899)
82:Player,BR:0cc/cc/cc/r130c:2dKh,4dAh|/7cJdKs/Kd/8d:230,-230(99.748928)
83:BR,Player:0cc/cc/cc/cc:4h9d,2dKh|/5s6h9h/Ts/As:100,-100(100.000000)
84:Player,BR:0cc/cc/cc/r300c:2d7h,9hQd|/8hQhAc/Jc/Qc:-400,400(-371.180749)
85:BR,Player:0r130c/cc/cc/cr460f:2dTc,5hKc|/5d9cQd/Js/Td:-230,230(-230.000000)
86:Player,BR:0cr200c/cc/r150c/r225c:4h5d,JcKd|/7h8h9s/Tc/8s:-675,675(-561.547891)
87:BR,Player:0r130c/cc/cc/cr299c:QsKh,3cAs|/2s2cQh/Ts/2d:529,-529(376.282970)
88:Player,BR:0cr300c/cc/cc/cc:8cTd,2sJd|/6h7dQh/9c/Qd:400,-400(400.000000)
89:BR,Player:0f:4d8d,2c8h|:50,-50(50.000000)
90:Player,BR:0cr300c/cc/cc/cc:9d9c,3s3c|/TdQhAd/7c/7s:400,-400(100.648964)
91:BR,Player:0f:7dTh,2c4d|:50,-50(50.000000)
92:Player,BR:0cr200c/r390c/cc/r345f:2cTc,KsAd|/4d6cJh/5h/3h:690,-690(690.000000)
93:BR,Player:0r130c/cr460c/cc/cc:9hAd,JsQh|/7d8sTd/3h/Ah:690,-690(690.000000)
94:Player,BR:0cc/cc/r200c/r390f:6sKc,7dJd|/TdJhQh/4s/Ah:300,-300(300.000000)
