In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 42.
54:BR,Player:0r200c/cc/cc/cc:QcKh,2dAc|/3hTsQh/3s/8h:300,-300(300.000000)
55:Player,BR:0cc/cc/cc/r130c:9sAc,4s9h|/4d5sKd/Kh/Kc:-230,230(-191.155412)
56:BR,Player:0r130c/cc/cr460c/cc:7sAs,TsTh|/3d6sKh/5c/9s:-690,690(-690.000000)
57:Player,BR:0cc/cc/r130c/cc:7d9h,TsKs|/3cTdJc/Kc/3s:-230,230(-219.745110)
58:BR,Player:0r200c/cc/cc/cr390f:4d7h,7sQc|/4cQhAc/2s/5c:-300,300(-300.000000)
59:Player,BR:0cc/cc/r200c/cc:4dAs,9sJc|/9hTdJd/Ks/Kc:-300,300(-300.000000)
60:BR,Player:0f:7hTh,3h8c|:50,-50(50.000000)
61:Player,BR:0cr600c/cc/cc/r1400c:4dKd,TsKh|/2s6cKc/5s/Jd:-2100,2100(-1791.707665)
62:BR,Player:0f:6hJh,3c7s|:50,-50(50.000000)
63:Player,BR:0cr300c/cc/r800c/cc:5h8c,8hQs|/3s3cAh/6s/7c:-1200,1200(-1026.917488)
64:BR,Player:0f:8sKc,2c9h|:50,-50(50.000000)
65:Player,BR:0cr300c/r520c/cc/cc:8hTs,5h5c|/JdKsAs/6h/8c:920,-920(-275.340812)
66:BR,Player:0r130c/cc/cc/cr299f:3s9s,4cKc|/8cThAs/4s/Td:-230,230(-230.000000)
67:Player,BR:0cc/cc/cc/cc:4cAs,8c9d|/5c8h9c/Kd/Kc:-100,100(-86.320276)
68:BR,Player:0r300c/cr520c/cc/cc:3cAc,2dKs|/2h6dQc/3s/6s:920,-920(920.000000)
69:Player,BR:0cr130c/r299c/r687f:TcQs,2d2c|/3h7dKc/Jh:529,-529(529.000000)
70:BR,Player:0r130c/cc/cc/cr299c:2c6h,4d7h|/3c4h8c/5c/5d:529,-529(407.719348)
71:Player,BR:0cr300c/cc/r200c/cc:3h8h,7cTh|/5cJcAc/Ah/8c:-600,600(-473.653031)
72:BR,Player:0r200c/cr390c/cc/cc:7dKc,3d5c|/4d9dTh/7h/8c:690,-690(88.129362)
73:Player,BR:0cr300c/cc/cc/cc:4s4d,5c8c|/ThQdAs/Qh/Jh:400,-400(312.812819)
74:BR,Player:0r130c/cr299c/cc/cc:3dAc,6cJh|/8cTcAd/7c/4h:529,-529(529.000000)
75:Player,BR:0cr130c/cc/cc/r299c:7hQc,2dAs|/JsJhKh/Jd/Ad:-529,529(-520.897923)
76:BR,Player:0cc/cc/cr130c/cc:8hTc,4sAh|/9d9cKc/Qh/7d:-230,230(-230.000000)
77:Player,BR:0cr600c/cc/r350c/r2100c:4d7d,TcAh|/5s9s9h/8c/Jd:-3150,3150(-1566.779154)
78:BR,Player:0r130c/cc/cr115c/cr690f:3dQd,9cAs|/7hJdJc/4h/Ac:-345,345(-345.000000)
79:Player,BR:0cc/cc/cc/cc:2c4h,5h8d|/5c6hJh/Kc/4d:-100,100(-33.707263)
80:BR,Player:0f:6cAh,2sTd|:50,-50(50.000000)
81:Player,BR:0cr200c/r390c/r897c/r793c:9dKs,5cKh|/2c3s3h/9c/Ts:2380,-2380(1213.379810)
82:BR,Player:0r130c/cc/cc/cc:2dKh,4dAh|/7cJdKs/Kd/8d:230,-230(230.000000)
83:Player,BR:0cc/cc/r130c/r115c:4h9d,2dKh|/5s6h9h/Ts/As:345,-345(227.552629)
84:BR,Player:0r130c/cc/cc/cr690f:2d7h,9hQd|/8hQhAc/Jc/Qc:-230,230(-230.000000)
85:Player,BR:0cc/cc/r200c/cc:2dTc,5hKc|/5d9cQd/Js/Td:-300,300(-291.838016)
86:BR,Player:0r200c/cc/cr150f:4h5d,JcKd|/7h8h9s/Tc:-300,300(-300.000000)
87:Player,BR:0cr600c/r910c/cc/r3220f:QsKh,3cAs|/2s2cQh/Ts/2d:1610,-1610(1610.000000)
88:BR,Player:0cc/cc/cc/cc:8cTd,2sJd|/6h7dQh/9c/Qd:100,-100(100.000000)
89:Player,BR:0cc/cc/r130c/r115c:4d8d,2c8h|/2hTsTc/8s/Kc:0,-0(6.669668)
90:BR,Player:0r130c/cc/cc/cc:9d9c,3s3c|/TdQhAd/7c/7s:230,-230(228.399713)
91:Player,BR:0cc/cc/r130f:7dTh,2c4d|/3dTdAd/6s:100,-100(100.000000)
92:BR,Player:0cc/cc/cc/cc:2cTc,KsAd|/4d6cJh/5h/3h:100,-100(100.000000)
93:Player,BR:0cr200c/cc/cc/cc:9hAd,JsQh|/7d8sTd/3h/Ah:300,-300(300.000000)
94:BR,Player:0r200c/cc/cc/cc:6sKc,7dJd|/TdJhQh/4s/Ah:300,-300(300.000000)
95:Player,BR:0cr200c/cc/cc/r150f:7cAd,3dTc|/4d6s7h/8h/2h:300,-300(300.000000)
96:BR,Player:0r130c/cc/cc/cc:5cAs,4sQd|/7cJsKc/Td/Ks:230,-230(-61.601233)
97:Player,BR:0cc/cc/cc/r200c:4d9c,9sAd|/2h7hJs/7c/6h:-300,300(-218.801873)
98:BR,Player:0r130c/cc/cr690c/cc:7cTd,8s9s|/5dThKh/2s/5c:920,-920(920.000000)
99:Player,BR:0cr300c/r520c/r1196c/r423f:ThKh,5hQd|/3c5sJh/7d/As:2116,-2116(2116.000000)
100:BR,Player:0cc/cc/cr130f:2sQc,7hKc|/3h7d9c/4h:-100,100(-100.000000)
101:Player,BR:0cr600c/cc/r140c/cc:9hAs,QdAc|/2s3d5h/5d/Jd:-840,840(-537.095185)
102:BR,Player:0r130c/cc/cc/cc:JsKs,9sKh|/4sQsQh/2h/7s:230,-230(230.000000)
103:Player,BR:0cc/cc/r130c/cc:5s6c,2cTc|/2sJsAh/5h/Th:-230,230(-208.464987)
104:BR,Player:0cc/cc/cc/cc:5sAd,8cTd|/3s8dJh/Ah/9d:100,-100(100.000000)
105:Player,BR:0cc/cc/cc/r130f:JhQd,5d7d|/4hQhKd/4s/Jd:100,-100(100.000000)
106:BR,Player:0r130c/cc/cc/cc:6d8c,4cAh|/3sQhQc/Kc/Jd:-230,230(-230.000000)
107:Player,BR:0cc/cc/cc/cc:2cQh,8sTd|/5c7s9s/Js/9c:-100,100(-96.530351)
108:BR,Player:0cc/cr130c/cc/cc:2d3s,4d6s|/3c9dAh/4c/8h:-230,230(-74.962975)
109:Player,BR:0cr200c/cc/r600c/r450f:QcAd,5sTh|/2c3s7s/As/5d:900,-900(900.000000)
110:BR,Player:0f:JsKc,3d7c|:50,-50(50.000000)
111:Player,BR:0cc/cc/cc/cc:3sQc,4c6d|/5sThAs/Ts/2c:100,-100(100.000000)
112:BR,Player:0r130c/cc/cc/cr460c:2h4h,7dKd|/7hThQs/9s/Kh:690,-690(661.904635)
113:Player,BR:0cc/cc/r200c/r390f:9sJh,3cKs|/6hQcAc/Th/Kc:300,-300(300.000000)
