In config file: GAME_DEF=game_def.fullholdem
In config file: ACTIONS_R0=F,C
In config file: ACTIONS_R1=F,C
In config file: ACTIONS_R2=F,C
In config file: ACTIONS_R3=F,C
Loading player: rgbr_nl_cprg.so
Player args: /home/viliam/cprg/project_uoapoker/trunk/src/c/meta_player.so /home/viliam/cprg/project_uoapoker/trunk/src/c/acpc14.map
Using seed 48.
55:BR,Player:0r130c/cr299f:2h6c,7sQc|/4d9s9d:-230,230(-230.000000)
56:Player,BR:0cr200c/cc/r150c/r585f:6cTc,4sJd|/QsQcAc/Js/8c:450,-450(450.000000)
57:BR,Player:0r130c/cc/cc/cc:2c4d,6sAc|/7dTdKs/Kd/5s:-230,230(-230.000000)
58:Player,BR:0cc/cc/cc/cc:TcQs,9cAs|/6s8cJh/9s/5s:100,-100(-84.478769)
59:BR,Player:0r130c/cr299c/cc/cr1058c:5hKc,4dKd|/3h6hTh/Ah/Ks:1587,-1587(-396.237253)
60:Player,BR:0cc/cc/cc/cc:TsJd,3dAh|/5h6cAd/6s/Ac:-100,100(-98.350972)
61:BR,Player:0r130c/cc/cr299c/cc:9hAh,QsQh|/4c5s8d/6c/3s:-529,529(-127.914612)
62:Player,BR:0cc/cc/r130c/cc:5s9c,3dAc|/2c7hKs/4s/Qc:-230,230(-158.626494)
63:BR,Player:0r130c/cc/cc/cc:QdAd,8s8h|/3d6d9d/Qh/2d:230,-230(230.000000)
64:Player,BR:0cc/cc/cc/cc:7cAs,5dAh|/4dJhKc/9d/6d:100,-100(8.063231)
65:BR,Player:0cc/cc/cr130c/cr690c:4d7d,3cAs|/4h7cAc/Ad/Kc:-920,920(-195.589892)
66:Player,BR:0cr130c/cc/r115c/cc:JsQs,6c8d|/2h4c9c/5c/Kd:345,-345(345.000000)
67:BR,Player:0r130c/cc/cc/cc:3cKc,6s6d|/3sJsQs/Tc/Qd:-230,230(114.511637)
68:Player,BR:0cc/cc/cc/cc:3sAh,2hQd|/2s9d9c/5c/Jc:-100,100(-76.023326)
69:BR,Player:0r130c/cr299c/cr687c/cc:5sQh,3dKc|/2d2c7s/6d/6s:-1216,1216(-421.335284)
70:Player,BR:0cc/cc/cc/cc:3dKh,2s6h|/2h5c6c/6d/Qd:-100,100(-98.269746)
71:BR,Player:0r130c/cc/cc/cr460c:7hAc,4sTd|/JsKcAd/2s/5s:690,-690(562.701829)
72:Player,BR:0cc/cc/cc/cc:7h8d,2s4c|/2d6s7d/Qd/5d:100,-100(70.876673)
73:BR,Player:0r130c/cr299f:6h9d,8dJd|/4d5hJc:-230,230(-230.000000)
74:Player,BR:0cr300c/r520c/r460c/cc:6sTc,6h6d|/4d7sJs/3h/6c:-1380,1380(-873.237228)
75:BR,Player:0r130c/cr460c/cc/cc:5sJh,TsJs|/2d3h6c/6h/9d:-690,690(-427.168367)
76:Player,BR:0cr300f:3cTc,3s5d|:100,-100(100.000000)
77:BR,Player:0r130c/cc/cc/cc:6cQc,6dKd|/2d7cTh/4s/Qh:230,-230(230.000000)
78:Player,BR:0cr200c/r390c/r1380c/r2691f:7s9s,8cKd|/4h6sKs/Qh/Tc:2070,-2070(2070.000000)
79:BR,Player:0r300c/cc/cc/cr520f:5dQh,4sAc|/8cKsKh/2d/As:-400,400(-400.000000)
80:Player,BR:0cr300c/r520c/r1196c/r2750c:QcKc,6d6c|/3c7hKd/9c/8s:4866,-4866(-2581.708930)
81:BR,Player:0r130c/cc/cc/cc:2sJd,3d8d|/5sKcAs/3h/Kd:-230,230(-218.373552)
82:Player,BR:0cc/cc/cc/cc:4d8h,TsJh|/4s5c9s/Qc/3h:100,-100(69.154879)
83:BR,Player:0r130c/cc/cc/cr299c:QsAh,9dJs|/9hTcAc/Ks/Ts:529,-529(302.145988)
84:Player,BR:0cr300c/cc/r520c/r184f:4h6h,JsKd|/5c7d8h/4s/9h:920,-920(920.000000)
85:BR,Player:0r130c/cc/cr299c/cc:JsKc,3cQc|/2s7h9s/5d/5h:529,-529(114.217180)
86:Player,BR:0cc/cc/cc/cc:4sTc,6h7c|/2sTdQc/9s/Qd:100,-100(77.161016)
87:BR,Player:0r130c/cr299c/cc/cr687f:4d8d,6c7s|/4h5s7d/5h/Js:-529,529(-529.000000)
88:Player,BR:0cc/cc/r130c/r299f:JdQh,8sAd|/3h5c7s/Qs/4d:230,-230(230.000000)
89:BR,Player:0cc/cc/cr130f:8c9h,6c7h|/4sQcKs/2d:-100,100(-100.000000)
90:Player,BR:0cc/cc/cc/cc:3dQd,6sQs|/5d8dAh/2c/8s:-100,100(4.199237)
91:BR,Player:0r200c/cc/cr390c/cr2070c:KcAs,JsKs|/2s3s3h/Kh/4d:2760,-2760(4.940000)
92:Player,BR:0cc/cc/cc/cc:8sKd,7sQs|/5s5dQd/Js/2s:-100,100(-97.976716)
93:BR,Player:0r130c/cr460c/cc/cc:2s7s,4s9s|/6d7h8c/9c/7d:690,-690(690.000000)
94:Player,BR:0cc/cc/r130f:5s6h,2d8d|/7c9cQs/7d:100,-100(100.000000)
95:BR,Player:0f:KhAc,2h4s|:50,-50(50.000000)
96:Player,BR:0cc/cc/cc/r130f:8c9h,2cTd|/7h9cKs/9s/Kh:100,-100(100.000000)
97:BR,Player:0r130c/cc/cr299c/cr1587f:KsAh,4s7s|/2s8sJh/3s/7d:-529,529(-529.000000)
98:Player,BR:0cc/cc/cc/cc:7cJd,3cQd|/7hKhAs/Td/Ah:100,-100(-31.115288)
99:BR,Player:0r130c/cr690c/cr2760c/cc:7sAc,4hQd|/6sTdKd/5d/7d:-3680,3680(-3680.000000)
100:Player,BR:0cc/r130c/r115c/cc:JhQd,4hAs|/AhAdAc/8c/8s:-345,345(-345.000000)
101:BR,Player:0r200c/cc/cr600f:5cQc,6dJd|/2s8s9d/Tc:-300,300(-300.000000)
102:Player,BR:0cc/cc/cc/cc:3s7h,5hAs|/2dJsJc/Kc/8c:-100,100(-59.887219)
103:BR,Player:0r200c/cc/cc/cc:7s8d,4s7c|/4hThQh/Kd/Ts:-300,300(-300.000000)
104:Player,BR:0cr200c/cc/cc/cc:9cTc,2h9s|/8dQhQc/8c/Qs:0,-0(18.535361)
105:BR,Player:0r130c/cc/cc/cr299c:9dKc,6cKh|/4s9cQs/6h/5h:529,-529(493.914871)
106:Player,BR:0cc/cc/r200c/r390c:2d6s,7d8d|/JhKcAs/7c/Qc:-690,690(-419.946229)
107:BR,Player:0cc/cc/cc/cc:KsAs,2dJd|/3c5d8h/9d/3s:100,-100(90.342294)
108:Player,BR:0cr200c/cc/r150c/cc:7dAh,9cAc|/4s9dKs/9h/Qh:-450,450(-445.881225)
109:BR,Player:0cc/cc/cc/cr300f:3sAd,7s8d|/3cJcQd/6d/4s:-100,100(-100.000000)
110:Player,BR:0cc/cc/cc/r130f:7hAc,5c8d|/3s3d6h/Td/Ts:100,-100(100.000000)
